,年,週,年齡別,縣市,腸病毒急診就診人次
4607,2009,1,4-6,彰化縣,1
4608,2009,2,7-15,桃園市,2
4609,2009,3,16+,台北市,1
4610,2009,5,0,彰化縣,3
4611,2009,5,7-15,宜蘭縣,1
4612,2009,8,16+,台中市,1
4613,2009,8,4-6,台北市,3
4614,2009,8,4-6,桃園市,1
4615,2009,11,16+,新北市,1
4616,2009,13,1-3,澎湖縣,1
4617,2009,14,1-3,苗栗縣,5
4618,2007,24,0,桃園市,3
4619,2007,25,4-6,台北市,20
4620,2007,25,0,桃園市,6
4621,2007,25,7-15,桃園市,2
4622,2007,26,0,新北市,2
4623,2007,26,1-3,台南市,24
4624,2007,27,0,新北市,4
4625,2007,27,1-3,台南市,53
4626,2007,27,1-3,高雄市,59
4627,2007,29,0,高雄市,4
4628,2007,29,1-3,台北市,75
4629,2007,29,0,嘉義市,1
4630,2007,30,4-6,嘉義市,2
4631,2007,30,0,台中市,9
4632,2007,30,0,台北市,9
4633,2007,31,0,基隆市,1
4634,2007,31,7-15,彰化縣,3
4635,2007,32,0,基隆市,4
4636,2007,33,0,桃園市,3
4637,2007,33,1-3,新竹縣,1
4638,2007,33,7-15,桃園市,1
4639,2007,35,4-6,台中市,7
4640,2009,23,4-6,桃園市,8
4641,2009,23,4-6,澎湖縣,1
4642,2009,24,1-3,苗栗縣,2
4643,2009,25,1-3,苗栗縣,3
4644,2009,26,4-6,嘉義市,10
4645,2009,28,0,台北市,7
4646,2009,28,0,高雄市,7
4647,2009,29,1-3,彰化縣,44
4648,2009,29,0,澎湖縣,1
4649,2009,30,7-15,苗栗縣,3
4650,2009,31,0,花蓮縣,3
4651,2009,31,0,苗栗縣,3
4652,2009,32,0,高雄市,8
4653,2009,32,7-15,台南市,3
4654,2009,33,4-6,新竹縣,3
4655,2009,34,1-3,嘉義縣,5
4656,2009,36,1-3,苗栗縣,7
4657,2009,36,0,新竹市,3
4658,2009,37,1-3,雲林縣,3
4659,2009,37,4-6,台南市,5
4660,2009,38,0,南投縣,1
4661,2009,38,4-6,台中市,7
4662,2009,39,1-3,苗栗縣,2
4663,2008,48,7-15,台南市,1
4664,2008,49,4-6,台中市,2
4665,2008,50,0,新竹市,2
4666,2008,50,7-15,新竹市,1
4667,2008,51,4-6,基隆市,1
4668,2008,51,0,新北市,1
4669,2009,1,4-6,南投縣,1
4670,2009,1,0,彰化縣,2
4671,2009,2,7-15,苗栗縣,1
4672,2009,6,7-15,新北市,2
4673,2009,8,1-3,台中市,10
4674,2009,8,1-3,嘉義市,1
4675,2009,11,0,新竹市,1
4676,2009,13,4-6,台北市,9
4677,2009,13,0,桃園市,2
4678,2009,15,1-3,新竹市,6
4679,2009,16,0,台中市,3
4680,2009,17,0,台中市,1
4681,2009,17,1-3,澎湖縣,1
4682,2009,17,7-15,台北市,5
4683,2009,18,1-3,屏東縣,12
4684,2009,19,0,台北市,3
4685,2008,38,1-3,嘉義市,5
4686,2008,40,1-3,桃園市,10
4687,2008,42,1-3,台中市,35
4688,2008,42,1-3,南投縣,1
4689,2008,43,1-3,台南市,6
4690,2008,44,0,新北市,3
4691,2008,45,0,台北市,1
4692,2008,45,16+,高雄市,1
4693,2008,45,4-6,基隆市,2
4694,2008,46,1-3,台北市,28
4695,2008,47,1-3,台東縣,1
4696,2008,47,7-15,桃園市,2
4697,2008,48,4-6,台中市,5
4698,2008,49,4-6,苗栗縣,1
4699,2008,50,16+,新竹市,1
4700,2008,52,16+,桃園市,1
4701,2009,1,7-15,台北市,4
4702,2009,4,0,台中市,1
4703,2009,5,7-15,苗栗縣,1
4704,2009,6,0,新竹市,2
4705,2009,7,0,高雄市,1
4706,2009,7,7-15,高雄市,1
4707,2007,44,1-3,新竹市,3
4708,2007,44,0,台中市,5
4709,2007,45,16+,台北市,1
4710,2007,45,1-3,高雄市,22
4711,2007,45,4-6,新北市,6
4712,2007,45,0,台中市,3
4713,2007,46,1-3,雲林縣,6
4714,2007,47,1-3,花蓮縣,2
4715,2007,47,4-6,桃園市,4
4716,2007,49,4-6,雲林縣,2
4717,2007,50,16+,台北市,2
4718,2007,50,1-3,高雄市,20
4719,2007,50,4-6,新竹縣,1
4720,2007,51,1-3,宜蘭縣,5
4721,2007,51,7-15,台東縣,1
4722,2008,2,0,苗栗縣,2
4723,2008,2,7-15,台南市,4
4724,2008,3,1-3,高雄市,31
4725,2008,3,1-3,新竹市,6
4726,2008,7,0,花蓮縣,1
4727,2008,10,0,新北市,1
4728,2008,10,1-3,高雄市,23
4729,2008,10,1-3,新竹市,4
4730,2008,15,4-6,彰化縣,2
4731,2008,16,0,台中市,1
4732,2008,17,4-6,新北市,9
4733,2008,18,4-6,基隆市,2
4734,2008,19,1-3,高雄市,62
4735,2008,19,4-6,南投縣,4
4736,2008,19,4-6,新北市,14
4737,2008,20,0,新竹市,1
4738,2008,20,1-3,彰化縣,40
4739,2008,20,0,苗栗縣,2
4740,2008,21,1-3,台北市,79
4741,2008,22,4-6,桃園市,16
4742,2008,22,7-15,雲林縣,2
4743,2008,22,7-15,嘉義縣,3
4744,2008,23,16+,桃園市,1
4745,2008,23,4-6,彰化縣,23
4746,2008,24,0,台南市,15
4747,2008,25,7-15,台南市,17
4748,2008,26,4-6,台中市,79
4749,2008,27,1-3,台中市,146
4750,2008,27,4-6,台中市,53
4751,2008,28,0,台南市,3
4752,2007,40,0,桃園市,4
4753,2007,41,1-3,苗栗縣,11
4754,2007,42,7-15,花蓮縣,1
4755,2007,43,4-6,台中市,5
4756,2007,44,0,台北市,3
4757,2007,45,0,桃園市,1
4758,2007,45,1-3,新竹縣,1
4759,2007,45,0,台北市,1
4760,2007,45,7-15,台北市,5
4761,2007,46,0,屏東縣,2
4762,2007,47,4-6,新北市,7
4763,2007,47,0,台南市,1
4764,2007,47,0,屏東縣,1
4765,2007,48,0,花蓮縣,1
4766,2007,49,1-3,高雄市,16
4767,2007,49,4-6,新北市,5
4768,2007,52,16+,屏東縣,1
4769,2007,52,1-3,嘉義縣,2
4770,2008,1,4-6,桃園市,3
4771,2008,3,16+,基隆市,1
4772,2008,3,4-6,台南市,5
4773,2008,4,4-6,彰化縣,3
4774,2008,5,1-3,苗栗縣,1
4775,2008,34,0,桃園市,5
4776,2008,35,16+,桃園市,1
4777,2008,36,7-15,澎湖縣,2
4778,2008,37,1-3,宜蘭縣,2
4779,2008,37,1-3,高雄市,14
4780,2008,39,0,新北市,2
4781,2008,39,1-3,宜蘭縣,2
4782,2008,40,1-3,台北市,22
4783,2008,40,1-3,苗栗縣,4
4784,2008,41,4-6,台南市,1
4785,2008,41,0,桃園市,3
4786,2008,42,4-6,新北市,6
4787,2008,42,4-6,新竹市,1
4788,2008,42,0,台中市,1
4789,2008,44,1-3,新北市,15
4790,2008,45,0,嘉義市,1
4791,2008,48,1-3,屏東縣,3
4792,2008,49,1-3,桃園市,13
4793,2008,50,1-3,新北市,14
4794,2008,50,1-3,新竹縣,1
4795,2008,52,4-6,南投縣,1
4796,2008,52,7-15,台北市,1
4797,2009,2,16+,桃園市,1
4798,2009,5,0,花蓮縣,1
4799,2009,6,0,台南市,1
4800,2009,11,1-3,台中市,3
4801,2009,11,4-6,雲林縣,1
4802,2009,14,1-3,花蓮縣,13
4803,2009,14,1-3,高雄市,16
4804,2009,14,1-3,雲林縣,7
4805,2009,14,0,南投縣,2
4806,2009,15,1-3,花蓮縣,13
4807,2009,15,1-3,雲林縣,2
4808,2009,15,4-6,新北市,8
4809,2009,16,1-3,基隆市,10
4810,2009,16,4-6,台北市,20
4811,2009,17,1-3,台東縣,3
4812,2009,17,1-3,桃園市,29
4813,2009,17,4-6,台北市,26
4814,2009,18,0,台中市,4
4815,2009,18,1-3,苗栗縣,7
4816,2009,19,1-3,基隆市,7
4817,2009,20,4-6,新北市,2
4818,2009,21,1-3,屏東縣,12
4819,2009,23,1-3,雲林縣,6
4820,2009,27,1-3,花蓮縣,5
4821,2009,24,1-3,嘉義縣,1
4822,2009,24,4-6,彰化縣,6
4823,2009,25,4-6,台中市,22
4824,2009,25,4-6,彰化縣,5
4825,2009,25,7-15,苗栗縣,2
4826,2009,26,1-3,台東縣,1
4827,2009,26,7-15,花蓮縣,1
4828,2009,27,0,新竹縣,1
4829,2009,28,7-15,新竹市,1
4830,2009,29,4-6,台北市,15
4831,2009,29,4-6,嘉義縣,2
4832,2009,29,0,高雄市,10
4833,2009,30,4-6,台南市,16
4834,2009,30,4-6,新竹市,10
4835,2009,30,7-15,澎湖縣,1
4836,2009,31,4-6,宜蘭縣,3
4837,2009,32,0,台中市,1
4838,2009,32,16+,台中市,1
4839,2009,32,1-3,桃園市,30
4840,2009,33,0,新竹市,3
4841,2009,33,0,雲林縣,1
4842,2009,34,1-3,宜蘭縣,12
4843,2008,45,0,苗栗縣,2
4844,2008,46,1-3,台中市,15
4845,2008,46,7-15,屏東縣,1
4846,2008,47,1-3,台中市,18
4847,2008,47,0,新竹市,5
4848,2008,49,1-3,南投縣,2
4849,2009,2,1-3,台中市,11
4850,2009,2,0,新竹市,1
4851,2009,3,1-3,台北市,20
4852,2009,3,4-6,台北市,5
4853,2009,3,4-6,桃園市,1
4854,2009,3,7-15,台中市,3
4855,2009,4,0,高雄市,2
4856,2009,5,16+,高雄市,2
4857,2009,6,4-6,台南市,1
4858,2009,8,16+,基隆市,1
4859,2009,10,16+,台中市,1
4860,2009,10,4-6,新北市,2
4861,2009,10,0,台中市,2
4862,2009,11,1-3,新北市,7
4863,2009,11,1-3,新竹縣,4
4864,2009,11,4-6,高雄市,3
4865,2009,8,4-6,高雄市,1
4866,2009,8,7-15,桃園市,2
4867,2009,12,1-3,彰化縣,6
4868,2009,12,4-6,台北市,1
4869,2009,12,7-15,台南市,1
4870,2009,13,4-6,宜蘭縣,2
4871,2009,13,4-6,花蓮縣,1
4872,2009,14,1-3,台中市,15
4873,2009,14,1-3,台北市,16
4874,2009,14,0,新北市,1
4875,2009,15,4-6,苗栗縣,2
4876,2009,15,7-15,南投縣,1
4877,2009,15,7-15,新北市,4
4878,2009,16,1-3,苗栗縣,3
4879,2009,16,4-6,台東縣,1
4880,2009,17,16+,花蓮縣,1
4881,2009,18,4-6,台中市,12
4882,2009,21,0,台南市,3
4883,2009,21,0,高雄市,8
4884,2009,22,16+,彰化縣,3
4885,2009,22,4-6,台南市,19
4886,2009,22,0,彰化縣,5
4887,2009,22,7-15,澎湖縣,2
4888,2008,26,4-6,新北市,53
4889,2008,26,0,台中市,49
4890,2008,27,1-3,新竹縣,13
4891,2008,27,0,台中市,27
4892,2008,28,1-3,台南市,64
4893,2008,29,1-3,新竹市,17
4894,2008,29,4-6,屏東縣,7
4895,2008,29,7-15,桃園市,9
4896,2008,31,0,基隆市,2
4897,2008,32,4-6,花蓮縣,2
4898,2008,33,4-6,桃園市,7
4899,2008,35,1-3,花蓮縣,1
4900,2008,35,1-3,苗栗縣,3
4901,2008,37,16+,台北市,1
4902,2008,37,0,台北市,2
4903,2008,37,0,桃園市,1
4904,2008,37,7-15,桃園市,1
4905,2008,38,1-3,台中市,25
4906,2008,38,7-15,高雄市,1
4907,2008,39,16+,台北市,3
4908,2008,39,4-6,台南市,4
4909,2008,40,0,台中市,4
4910,2007,51,0,新竹市,1
4911,2007,51,1-3,苗栗縣,2
4912,2007,51,4-6,台北市,20
4913,2007,52,1-3,屏東縣,6
4914,2008,2,7-15,新北市,1
4915,2008,3,0,台東縣,1
4916,2008,5,4-6,新竹市,3
4917,2008,5,4-6,新竹縣,1
4918,2008,7,0,台北市,2
4919,2008,8,1-3,台南市,9
4920,2008,9,1-3,花蓮縣,3
4921,2008,11,1-3,嘉義市,5
4922,2008,17,0,雲林縣,1
4923,2008,21,0,新北市,3
4924,2008,21,1-3,台南市,48
4925,2008,21,4-6,苗栗縣,1
4926,2008,22,4-6,高雄市,27
4927,2008,22,0,台中市,8
4928,2008,23,1-3,台北市,103
4929,2008,23,1-3,嘉義縣,15
4930,2008,24,1-3,高雄市,99
4931,2008,24,4-6,宜蘭縣,5
4932,2008,25,1-3,南投縣,13
4933,2009,19,0,台東縣,1
4934,2009,19,7-15,嘉義市,2
4935,2009,20,0,基隆市,2
4936,2009,21,1-3,宜蘭縣,16
4937,2009,21,1-3,南投縣,7
4938,2009,21,1-3,新北市,22
4939,2009,21,1-3,嘉義市,9
4940,2009,21,4-6,花蓮縣,7
4941,2009,21,4-6,桃園市,15
4942,2009,21,4-6,雲林縣,6
4943,2009,21,0,苗栗縣,1
4944,2009,22,0,苗栗縣,1
4945,2009,23,16+,彰化縣,1
4946,2009,23,1-3,花蓮縣,2
4947,2009,23,4-6,高雄市,9
4948,2009,25,1-3,嘉義縣,3
4949,2009,25,4-6,基隆市,2
4950,2009,25,0,新竹縣,1
4951,2009,26,4-6,嘉義縣,2
4952,2009,27,0,高雄市,7
4953,2009,29,1-3,台東縣,1
4954,2009,29,1-3,基隆市,10
4955,2009,29,7-15,台南市,2
4956,2009,13,0,桃園市,1
4957,2009,13,1-3,新竹市,6
4958,2009,14,7-15,新竹市,2
4959,2009,15,0,新竹市,1
4960,2009,16,4-6,金門縣,1
4961,2009,17,7-15,桃園市,1
4962,2009,18,0,新北市,4
4963,2009,19,4-6,屏東縣,1
4964,2009,19,4-6,嘉義縣,3
4965,2009,19,0,桃園市,1
4966,2009,19,7-15,桃園市,1
4967,2009,20,4-6,台中市,15
4968,2009,21,7-15,宜蘭縣,1
4969,2009,22,1-3,屏東縣,17
4970,2009,22,7-15,嘉義市,2
4971,2009,25,4-6,新竹縣,1
4972,2009,25,4-6,澎湖縣,1
4973,2009,26,1-3,澎湖縣,2
4974,2009,26,4-6,南投縣,3
4975,2009,26,0,台東縣,1
4976,2009,27,1-3,雲林縣,4
4977,2009,27,1-3,新竹縣,9
4978,2008,10,4-6,高雄市,10
4979,2008,13,1-3,台中市,8
4980,2008,14,4-6,新竹市,1
4981,2008,16,4-6,雲林縣,2
4982,2008,16,0,高雄市,4
4983,2008,17,0,新竹市,3
4984,2008,18,1-3,花蓮縣,4
4985,2008,18,1-3,雲林縣,8
4986,2008,18,4-6,桃園市,5
4987,2008,19,4-6,雲林縣,6
4988,2008,19,0,新竹市,3
4989,2008,20,7-15,苗栗縣,1
4990,2008,21,1-3,澎湖縣,6
4991,2008,21,4-6,澎湖縣,3
4992,2008,21,7-15,基隆市,1
4993,2008,22,0,台北市,4
4994,2008,22,16+,高雄市,1
4995,2008,22,4-6,基隆市,2
4996,2008,23,1-3,宜蘭縣,19
4997,2008,23,4-6,金門縣,1
4998,2008,23,7-15,澎湖縣,2
4999,2008,26,0,高雄市,7
5000,2007,45,1-3,嘉義市,2
5001,2007,46,1-3,新北市,23
5002,2007,46,1-3,新竹縣,2
5003,2007,46,4-6,基隆市,2
5004,2007,47,1-3,新竹縣,2
5005,2007,48,1-3,台南市,13
5006,2007,50,1-3,嘉義市,4
5007,2007,50,4-6,新竹市,1
5008,2007,51,1-3,屏東縣,5
5009,2007,51,1-3,基隆市,4
5010,2007,52,1-3,台北市,21
5011,2008,1,16+,基隆市,1
5012,2008,1,1-3,台中市,12
5013,2008,2,1-3,宜蘭縣,3
5014,2008,4,4-6,花蓮縣,2
5015,2008,4,0,新竹市,2
5016,2008,5,1-3,雲林縣,2
5017,2008,5,4-6,花蓮縣,1
5018,2008,6,1-3,新竹市,13
5019,2008,7,0,台中市,1
5020,2008,8,1-3,花蓮縣,1
5021,2008,8,0,新北市,1
5022,2008,8,7-15,新北市,1
5023,2008,21,7-15,新北市,3
5024,2008,22,1-3,花蓮縣,7
5025,2008,22,4-6,宜蘭縣,5
5026,2008,22,0,新北市,10
5027,2008,22,7-15,高雄市,11
5028,2008,23,0,屏東縣,3
5029,2008,23,4-6,澎湖縣,13
5030,2008,24,4-6,屏東縣,18
5031,2008,24,0,台北市,19
5032,2008,24,0,桃園市,8
5033,2008,24,7-15,桃園市,13
5034,2008,25,4-6,屏東縣,15
5035,2008,25,7-15,桃園市,16
5036,2008,26,4-6,嘉義市,11
5037,2008,27,7-15,澎湖縣,2
5038,2008,28,4-6,雲林縣,8
5039,2008,29,1-3,高雄市,58
5040,2008,29,0,澎湖縣,1
5041,2008,29,7-15,澎湖縣,2
5042,2008,30,0,新北市,2
5043,2008,30,7-15,苗栗縣,2
5044,2008,31,0,台北市,3
5045,2008,31,1-3,澎湖縣,1
5046,2008,31,7-15,台南市,2
5047,2008,33,1-3,台北市,14
5048,2008,34,1-3,台中市,25
5049,2008,34,7-15,台北市,3
5050,2008,35,4-6,宜蘭縣,1
5051,2008,37,4-6,雲林縣,3
5052,2008,37,4-6,彰化縣,4
5053,2008,39,1-3,嘉義縣,1
5054,2008,41,4-6,新北市,6
5055,2008,42,0,嘉義市,1
5056,2008,43,4-6,苗栗縣,1
5057,2008,44,1-3,南投縣,2
5058,2008,48,1-3,基隆市,3
5059,2008,48,4-6,台北市,10
5060,2008,49,0,花蓮縣,1
5061,2008,51,0,台北市,1
5062,2008,52,0,桃園市,1
5063,2008,52,0,新竹市,1
5064,2009,2,16+,高雄市,1
5065,2009,3,4-6,基隆市,1
5066,2009,4,16+,新北市,2
5067,2009,5,4-6,花蓮縣,1
5068,2009,23,4-6,基隆市,1
5069,2009,23,7-15,新竹市,1
5070,2009,24,0,桃園市,1
5071,2009,24,4-6,高雄市,11
5072,2009,25,1-3,新竹縣,1
5073,2009,26,1-3,桃園市,27
5074,2009,26,4-6,雲林縣,10
5075,2009,27,4-6,雲林縣,5
5076,2009,29,1-3,桃園市,52
5077,2009,30,4-6,台中市,21
5078,2009,30,7-15,新竹市,5
5079,2009,31,1-3,台中市,65
5080,2009,31,1-3,苗栗縣,5
5081,2009,33,0,嘉義市,1
5082,2009,33,1-3,雲林縣,13
5083,2009,33,1-3,新北市,32
5084,2009,34,0,屏東縣,2
5085,2009,34,0,澎湖縣,1
5086,2009,36,4-6,新北市,9
5087,2009,36,0,台中市,6
5088,2009,37,1-3,新竹市,9
5089,2009,38,1-3,台南市,14
5090,2009,7,0,台中市,1
5091,2009,9,0,桃園市,1
5092,2009,10,16+,基隆市,1
5093,2009,11,0,台中市,2
5094,2009,14,16+,桃園市,1
5095,2009,14,1-3,基隆市,1
5096,2009,14,4-6,台北市,8
5097,2009,14,4-6,彰化縣,4
5098,2009,15,1-3,台東縣,5
5099,2009,16,1-3,高雄市,36
5100,2009,16,0,彰化縣,4
5101,2009,17,1-3,高雄市,46
5102,2009,17,0,澎湖縣,2
5103,2009,18,1-3,嘉義縣,7
5104,2009,18,4-6,基隆市,4
5105,2009,18,0,高雄市,5
5106,2009,19,0,新竹市,1
5107,2009,20,1-3,台東縣,6
5108,2009,20,0,宜蘭縣,1
5109,2009,20,0,桃園市,4
5110,2009,21,4-6,苗栗縣,4
5111,2009,21,0,雲林縣,1
5112,2009,22,1-3,新竹市,26
5113,2008,28,1-3,南投縣,12
5114,2008,29,16+,台南市,1
5115,2008,29,4-6,台中市,19
5116,2008,30,1-3,苗栗縣,6
5117,2008,31,0,桃園市,1
5118,2008,32,1-3,新竹縣,1
5119,2008,33,1-3,宜蘭縣,1
5120,2008,33,7-15,台北市,1
5121,2008,38,1-3,高雄市,19
5122,2008,39,0,新竹市,2
5123,2008,40,0,台南市,2
5124,2008,40,7-15,雲林縣,1
5125,2008,41,0,台北市,1
5126,2008,41,7-15,彰化縣,1
5127,2008,42,0,彰化縣,5
5128,2008,43,4-6,台北市,7
5129,2008,44,4-6,台南市,1
5130,2008,47,16+,桃園市,1
5131,2008,48,1-3,宜蘭縣,5
5132,2008,50,1-3,花蓮縣,3
5133,2008,51,1-3,嘉義市,1
5134,2008,51,4-6,新北市,5
5135,2008,52,0,嘉義市,1
5136,2008,26,16+,高雄市,5
5137,2008,26,7-15,新竹縣,1
5138,2008,29,0,台北市,2
5139,2008,31,1-3,嘉義市,3
5140,2008,32,1-3,彰化縣,19
5141,2008,32,4-6,彰化縣,2
5142,2008,33,1-3,花蓮縣,4
5143,2008,33,7-15,新竹市,1
5144,2008,34,4-6,南投縣,3
5145,2008,38,16+,嘉義縣,1
5146,2008,40,1-3,台中市,22
5147,2008,41,4-6,台中市,6
5148,2008,44,7-15,台北市,4
5149,2008,45,16+,基隆市,1
5150,2008,45,7-15,台北市,3
5151,2008,46,1-3,嘉義市,3
5152,2008,46,1-3,彰化縣,14
5153,2008,46,7-15,台中市,1
5154,2008,47,1-3,嘉義市,1
5155,2008,47,1-3,彰化縣,12
5156,2008,47,4-6,新北市,13
5157,2008,47,0,台中市,4
5158,2007,23,1-3,南投縣,6
5159,2007,24,0,高雄市,4
5160,2007,24,1-3,苗栗縣,4
5161,2007,25,0,屏東縣,1
5162,2007,25,16+,花蓮縣,1
5163,2007,26,1-3,新北市,41
5164,2007,26,1-3,新竹市,18
5165,2007,27,0,桃園市,1
5166,2007,27,1-3,新北市,44
5167,2007,27,1-3,新竹市,26
5168,2007,28,0,花蓮縣,3
5169,2007,28,0,南投縣,1
5170,2007,29,4-6,高雄市,20
5171,2007,30,1-3,高雄市,54
5172,2007,31,0,彰化縣,2
5173,2007,31,0,台北市,19
5174,2007,31,0,苗栗縣,1
5175,2007,37,1-3,嘉義縣,4
5176,2007,38,4-6,基隆市,1
5177,2007,38,4-6,雲林縣,1
5178,2007,38,4-6,嘉義縣,4
5179,2007,41,1-3,花蓮縣,6
5180,2008,26,0,新北市,8
5181,2008,26,4-6,高雄市,70
5182,2008,26,4-6,新竹市,46
5183,2008,27,4-6,高雄市,61
5184,2008,28,7-15,新竹市,2
5185,2008,29,0,新竹市,2
5186,2008,30,1-3,宜蘭縣,8
5187,2008,30,7-15,台北市,4
5188,2008,32,0,基隆市,1
5189,2008,33,0,澎湖縣,1
5190,2008,35,4-6,澎湖縣,1
5191,2008,35,7-15,台南市,1
5192,2008,37,1-3,台中市,23
5193,2008,37,4-6,台中市,7
5194,2008,38,0,屏東縣,2
5195,2008,39,1-3,彰化縣,13
5196,2008,39,4-6,台中市,9
5197,2008,39,4-6,彰化縣,3
5198,2008,40,0,基隆市,1
5199,2008,41,1-3,雲林縣,3
5200,2008,42,1-3,嘉義市,6
5201,2008,42,1-3,彰化縣,23
5202,2009,3,0,南投縣,1
5203,2009,5,4-6,南投縣,1
5204,2009,9,1-3,桃園市,4
5205,2009,12,1-3,花蓮縣,6
5206,2009,14,1-3,彰化縣,6
5207,2009,14,4-6,台南市,1
5208,2009,14,0,基隆市,1
5209,2009,15,4-6,台北市,7
5210,2009,16,7-15,台中市,1
5211,2009,17,1-3,新竹縣,1
5212,2009,18,4-6,屏東縣,3
5213,2009,20,1-3,彰化縣,28
5214,2009,20,4-6,新竹市,3
5215,2009,21,1-3,高雄市,41
5216,2009,23,4-6,台南市,9
5217,2009,24,0,花蓮縣,1
5218,2009,24,0,雲林縣,2
5219,2009,25,4-6,桃園市,12
5220,2009,25,0,花蓮縣,1
5221,2009,26,0,台南市,6
5222,2009,26,0,彰化縣,6
5223,2009,26,7-15,台南市,3
5224,2009,27,0,台北市,7
5225,2008,39,1-3,南投縣,2
5226,2008,40,0,新北市,2
5227,2008,41,0,屏東縣,2
5228,2008,42,0,澎湖縣,1
5229,2008,44,16+,台北市,2
5230,2008,46,4-6,彰化縣,3
5231,2008,47,7-15,嘉義縣,1
5232,2008,48,0,彰化縣,1
5233,2008,48,7-15,基隆市,1
5234,2008,50,0,台中市,1
5235,2008,51,0,台中市,1
5236,2008,52,4-6,台北市,6
5237,2009,1,1-3,屏東縣,1
5238,2009,3,1-3,宜蘭縣,1
5239,2009,3,4-6,花蓮縣,1
5240,2009,4,1-3,台北市,9
5241,2009,5,1-3,高雄市,15
5242,2009,9,1-3,基隆市,2
5243,2009,9,4-6,台北市,1
5244,2009,12,1-3,雲林縣,1
5245,2009,12,0,南投縣,1
5246,2009,12,7-15,桃園市,1
5247,2009,16,1-3,南投縣,4
5248,2009,11,0,新竹縣,2
5249,2009,12,4-6,雲林縣,2
5250,2009,13,4-6,南投縣,1
5251,2009,15,1-3,彰化縣,22
5252,2009,15,7-15,澎湖縣,1
5253,2009,16,4-6,新北市,9
5254,2009,16,0,台中市,8
5255,2009,17,4-6,新北市,13
5256,2009,17,0,台中市,6
5257,2009,17,7-15,台中市,3
5258,2009,18,7-15,新北市,2
5259,2009,20,4-6,高雄市,9
5260,2009,21,4-6,新竹縣,1
5261,2009,21,4-6,彰化縣,8
5262,2009,22,1-3,台北市,61
5263,2009,24,1-3,南投縣,8
5264,2009,24,1-3,新北市,22
5265,2009,24,4-6,澎湖縣,1
5266,2009,24,7-15,宜蘭縣,1
5267,2009,25,0,苗栗縣,2
5268,2009,25,0,雲林縣,1
5269,2009,26,0,新竹市,4
5270,2009,27,4-6,嘉義縣,2
5271,2008,29,1-3,宜蘭縣,8
5272,2008,30,1-3,台南市,31
5273,2008,31,0,台中市,2
5274,2008,32,0,嘉義市,1
5275,2008,33,7-15,新北市,1
5276,2008,38,0,新竹市,4
5277,2008,38,1-3,彰化縣,9
5278,2008,38,4-6,台東縣,1
5279,2008,38,4-6,桃園市,3
5280,2008,38,4-6,彰化縣,3
5281,2008,41,0,台南市,1
5282,2008,41,0,高雄市,4
5283,2008,42,16+,新竹市,1
5284,2008,42,4-6,台中市,3
5285,2008,42,7-15,台北市,1
5286,2008,43,0,彰化縣,2
5287,2008,43,0,嘉義縣,1
5288,2008,47,4-6,彰化縣,4
5289,2008,49,4-6,新竹市,1
5290,2008,50,1-3,高雄市,7
5291,2008,51,1-3,雲林縣,1
5292,2008,51,4-6,高雄市,3
5293,2008,6,4-6,嘉義縣,1
5294,2008,6,0,桃園市,3
5295,2008,7,1-3,台東縣,1
5296,2008,8,1-3,雲林縣,2
5297,2008,8,7-15,新竹市,1
5298,2008,9,1-3,台東縣,2
5299,2008,9,4-6,嘉義縣,1
5300,2008,10,4-6,台南市,3
5301,2008,11,1-3,屏東縣,7
5302,2008,11,1-3,高雄市,11
5303,2008,12,0,嘉義縣,1
5304,2008,14,1-3,南投縣,2
5305,2008,14,4-6,宜蘭縣,1
5306,2008,15,4-6,花蓮縣,1
5307,2008,15,4-6,雲林縣,3
5308,2008,16,4-6,嘉義市,2
5309,2008,17,4-6,台中市,1
5310,2008,17,4-6,彰化縣,7
5311,2008,18,1-3,新竹縣,3
5312,2008,18,0,台中市,3
5313,2008,18,0,基隆市,1
5314,2008,18,7-15,台中市,3
5315,2008,40,1-3,彰化縣,10
5316,2008,40,4-6,高雄市,4
5317,2008,42,1-3,新北市,15
5318,2008,42,7-15,宜蘭縣,1
5319,2008,43,7-15,新竹市,1
5320,2008,44,4-6,台北市,15
5321,2008,44,4-6,桃園市,4
5322,2008,45,4-6,台北市,7
5323,2008,45,4-6,桃園市,4
5324,2008,46,0,台南市,1
5325,2008,47,0,高雄市,3
5326,2008,49,0,台南市,1
5327,2008,51,7-15,苗栗縣,1
5328,2008,52,1-3,台中市,14
5329,2008,52,0,新北市,4
5330,2009,3,0,高雄市,1
5331,2009,4,1-3,雲林縣,2
5332,2009,4,4-6,台中市,1
5333,2009,5,16+,新竹市,1
5334,2009,5,4-6,嘉義市,2
5335,2009,7,1-3,台南市,5
5336,2009,9,0,南投縣,1
5337,2009,10,1-3,基隆市,5
5338,2009,20,4-6,台北市,12
5339,2009,20,4-6,嘉義市,4
5340,2009,21,0,花蓮縣,1
5341,2009,22,1-3,桃園市,30
5342,2009,23,4-6,嘉義市,5
5343,2009,24,0,彰化縣,1
5344,2009,24,4-6,桃園市,7
5345,2009,24,0,宜蘭縣,1
5346,2009,25,0,新竹市,4
5347,2009,25,0,彰化縣,2
5348,2009,25,7-15,宜蘭縣,3
5349,2009,26,0,桃園市,1
5350,2009,26,0,嘉義市,3
5351,2009,27,0,台南市,6
5352,2009,27,0,新竹市,4
