,年,週,年齡別,縣市,腸病毒急診就診人次
155,2007,24,4-6,新北市,5
156,2007,24,0,台北市,8
157,2007,24,0,台東縣,3
158,2007,24,0,台南市,12
159,2007,24,0,基隆市,1
160,2007,24,7-15,彰化縣,2
161,2007,2,4-6,高雄市,3
162,2007,3,1-3,嘉義縣,1
163,2007,3,0,新北市,1
164,2007,5,1-3,新竹縣,1
165,2007,5,7-15,嘉義市,1
166,2007,8,0,台北市,1
167,2007,10,0,新竹市,1
168,2007,11,1-3,彰化縣,2
169,2007,13,1-3,新北市,4
170,2007,19,0,桃園市,1
171,2007,20,0,新北市,1
172,2007,20,1-3,屏東縣,8
173,2007,20,1-3,新竹市,16
174,2007,20,4-6,高雄市,2
175,2007,20,0,彰化縣,5
176,2007,22,4-6,宜蘭縣,1
177,2007,23,0,高雄市,2
178,2007,24,0,台中市,4
179,2007,25,0,台中市,2
180,2007,25,0,苗栗縣,2
181,2007,26,4-6,嘉義縣,2
182,2007,26,0,新竹市,7
183,2007,27,0,新竹市,7
184,2007,3,1-3,彰化縣,5
185,2007,3,0,新竹市,1
186,2007,5,1-3,花蓮縣,1
187,2007,6,1-3,雲林縣,1
188,2007,10,1-3,基隆市,1
189,2007,14,0,新竹市,1
190,2007,16,0,彰化縣,3
191,2007,17,1-3,新竹市,5
192,2007,19,0,彰化縣,2
193,2007,19,7-15,花蓮縣,2
194,2007,21,1-3,高雄市,20
195,2007,22,1-3,雲林縣,16
196,2007,22,7-15,嘉義市,1
197,2007,24,16+,苗栗縣,6
198,2007,24,4-6,澎湖縣,1
199,2007,25,1-3,嘉義市,3
200,2007,25,4-6,雲林縣,2
201,2007,26,4-6,基隆市,3
202,2007,26,4-6,彰化縣,8
203,2007,27,0,台北市,5
204,2007,28,7-15,台中市,2
205,2007,29,0,台北市,1
206,2007,29,0,基隆市,1
207,2007,2,1-3,台北市,10
208,2007,4,1-3,台東縣,4
209,2007,6,0,新竹市,1
210,2007,7,1-3,台中市,11
211,2007,7,4-6,台中市,3
212,2007,10,0,台北市,1
213,2007,11,16+,新北市,1
214,2007,14,4-6,台北市,3
215,2007,15,1-3,基隆市,1
216,2007,16,4-6,澎湖縣,1
217,2007,18,0,花蓮縣,1
218,2007,19,0,彰化縣,3
219,2007,19,4-6,澎湖縣,1
220,2007,20,1-3,台東縣,6
221,2007,20,4-6,台北市,2
222,2007,20,0,嘉義縣,1
223,2007,21,1-3,台北市,18
224,2007,21,4-6,台東縣,1
225,2007,21,4-6,新北市,5
226,2007,22,0,桃園市,1
227,2007,23,0,嘉義縣,2
228,2007,23,7-15,台東縣,1
229,2007,24,0,嘉義市,1
230,2007,1,1-3,桃園市,7
231,2007,1,4-6,新北市,1
232,2007,13,0,高雄市,2
233,2007,14,0,台中市,1
234,2007,16,1-3,南投縣,1
235,2007,17,1-3,新北市,5
236,2007,18,4-6,新竹市,1
237,2007,18,4-6,彰化縣,8
238,2007,19,1-3,南投縣,2
239,2007,20,1-3,台北市,14
240,2007,21,0,台南市,1
241,2007,21,0,新竹市,2
242,2007,21,4-6,桃園市,2
243,2007,23,4-6,高雄市,6
244,2007,23,7-15,台北市,4
245,2007,24,0,新竹市,10
246,2007,25,1-3,澎湖縣,4
247,2007,25,4-6,台中市,12
248,2007,25,0,新竹市,9
249,2007,25,7-15,新竹市,3
250,2007,26,16+,高雄市,2
251,2007,26,1-3,台中市,61
252,2007,26,7-15,高雄市,6
253,2007,1,7-15,苗栗縣,1
254,2007,2,4-6,雲林縣,2
255,2007,3,0,彰化縣,3
256,2007,4,4-6,台南市,1
257,2007,6,0,台中市,1
258,2007,7,0,台南市,1
259,2007,7,7-15,台中市,3
260,2007,8,16+,高雄市,1
261,2007,10,1-3,台東縣,1
262,2007,11,1-3,南投縣,1
263,2007,13,1-3,彰化縣,2
264,2007,15,1-3,宜蘭縣,1
265,2007,15,1-3,花蓮縣,2
266,2007,16,0,台北市,1
267,2007,17,0,台北市,3
268,2007,18,0,桃園市,2
269,2007,18,1-3,澎湖縣,4
270,2007,18,4-6,嘉義縣,1
271,2007,19,0,台東縣,1
272,2007,19,0,台南市,2
273,2007,20,1-3,花蓮縣,1
274,2007,21,4-6,宜蘭縣,1
275,2007,22,0,台中市,4
276,2007,4,16+,台北市,2
277,2007,5,1-3,屏東縣,2
278,2007,7,1-3,新北市,5
279,2007,17,1-3,台南市,5
280,2007,19,1-3,台中市,14
281,2007,20,0,新北市,3
282,2007,21,0,台東縣,2
283,2007,22,4-6,台南市,4
284,2007,25,1-3,新竹市,29
285,2007,25,4-6,新北市,10
286,2007,25,0,台中市,16
287,2007,26,0,高雄市,3
288,2007,27,1-3,桃園市,47
289,2007,28,1-3,台南市,53
290,2007,28,1-3,屏東縣,22
291,2007,28,1-3,嘉義市,4
292,2007,28,4-6,苗栗縣,2
293,2007,30,0,桃園市,4
294,2007,30,0,高雄市,7
295,2007,30,0,新竹市,9
296,2007,30,7-15,台南市,1
297,2007,31,0,台北市,4
298,2007,32,4-6,花蓮縣,2
299,2007,3,1-3,新竹縣,2
300,2007,3,7-15,彰化縣,2
301,2007,5,4-6,台東縣,1
302,2007,6,16+,桃園市,1
303,2007,7,1-3,台東縣,1
304,2007,8,1-3,台中市,8
305,2007,8,1-3,台北市,11
306,2007,8,1-3,嘉義市,3
307,2007,12,4-6,宜蘭縣,1
308,2007,13,0,新竹市,1
309,2007,14,0,彰化縣,1
310,2007,16,7-15,新竹市,1
311,2007,18,1-3,雲林縣,4
312,2007,18,7-15,台北市,1
313,2007,19,4-6,台中市,3
314,2007,19,0,新竹市,3
315,2007,21,1-3,嘉義市,3
316,2007,22,0,屏東縣,1
317,2007,22,0,高雄市,1
318,2007,23,0,彰化縣,3
319,2007,23,4-6,雲林縣,3
320,2007,24,1-3,嘉義縣,10
