年,週,mean_value
2008,1,37.583333333333336
2008,2,102.8695652173913
2008,3,30.375
2008,4,45.86363636363637
2008,5,32.958333333333336
2008,6,58.20833333333334
2008,7,37.208333333333336
2008,8,92.20833333333331
2008,9,59.95833333333334
2008,10,51.75
2008,11,57.72727272727273
2008,12,62.04166666666666
2008,13,60.08695652173913
2008,14,52.91666666666666
2008,15,52.58333333333334
2008,16,43.41666666666666
2008,17,64.16666666666667
2008,18,53.555555555555564
2008,19,39.25
2008,20,49.83333333333334
2008,21,40.833333333333336
2008,22,36.16666666666666
2008,23,34.73913043478261
2008,24,32.583333333333336
2008,25,34.041666666666664
2008,26,39.0
2008,27,44.875
2008,28,25.45833333333333
2008,29,23.75
2008,30,50.04166666666666
2008,31,25.25
2008,32,36.79166666666666
2008,33,65.70833333333333
2008,34,33.08695652173913
2008,35,45.41666666666666
2008,36,61.91666666666666
2008,37,23.857142857142854
2008,38,48.66666666666666
2008,39,20.58333333333333
2008,40,43.25
2008,41,36.25
2008,42,22.33333333333333
2008,43,60.41666666666666
2008,44,51.30434782608695
2008,45,38.208333333333336
2008,46,33.166666666666664
2008,47,62.42857142857143
2008,48,54.58333333333334
2008,49,60.26315789473684
2008,50,39.25
2008,51,55.875
2008,52,44.56521739130435
2009,1,34.208333333333336
2009,2,53.91666666666666
2009,3,58.95833333333334
2009,4,64.41666666666667
2009,5,26.29166666666667
2009,6,43.08333333333334
2009,7,66.66666666666667
2009,8,47.33333333333334
2009,9,51.16666666666666
2009,10,23.45833333333333
2009,11,45.70833333333334
2009,12,76.33333333333333
2009,13,48.625
2009,14,56.91666666666666
2009,15,58.33333333333334
2009,16,36.04166666666666
2009,17,64.8695652173913
2009,18,29.375
2009,19,38.66666666666666
2009,20,47.08333333333334
2009,21,55.60869565217392
2009,22,51.79166666666666
2009,23,49.66666666666666
2009,24,42.57142857142857
2009,25,29.41666666666667
2009,26,34.25
2009,27,34.125
2009,28,36.625
2009,29,20.666666666666668
2009,30,35.25
2009,31,36.79166666666666
2009,32,29.47826086956522
2009,33,42.29166666666666
2009,34,48.5
2009,35,49.875
2009,36,23.875
2009,37,35.791666666666664
2009,38,34.708333333333336
2009,39,27.41666666666667
2009,40,35.833333333333336
2009,41,30.16666666666667
2009,42,45.75
2009,43,49.75
2009,44,43.83333333333334
2009,45,49.625
2009,46,41.458333333333336
2009,47,19.75
2009,48,40.583333333333336
2009,49,53.58333333333334
2009,50,68.83333333333333
2009,51,58.5
2009,52,65.33333333333333
2009,53,66.25
2010,1,67.79166666666667
2010,2,38.47826086956522
2010,3,42.583333333333336
2010,4,65.25
2010,5,51.04166666666666
2010,6,66.91666666666667
2010,7,47.29166666666666
2010,8,81.65217391304348
2010,9,78.0
2010,10,49.95833333333334
2010,11,151.625
2010,12,59.70833333333334
2010,13,55.25
2010,14,53.647058823529406
2010,15,39.5
2010,16,51.625
2010,17,60.20833333333334
2010,18,56.375
2010,19,48.41666666666666
2010,20,50.78260869565217
2010,21,43.16666666666666
2010,22,29.75
2010,23,40.458333333333336
2010,24,32.166666666666664
2010,25,31.5
2010,26,39.625
2010,27,31.875
2010,28,28.75
2010,29,32.291666666666664
2010,30,34.958333333333336
2010,31,41.54166666666666
2010,32,33.583333333333336
2010,33,27.54166666666667
2010,34,19.45833333333333
2010,35,27.20833333333333
2010,36,32.625
2010,37,32.95652173913044
2010,38,20.916666666666668
2010,39,35.541666666666664
2010,40,52.95833333333334
2010,41,42.34782608695652
2010,42,38.38095238095238
2010,43,50.5
2010,44,46.45833333333334
2010,45,65.375
2010,46,41.5
2010,47,53.43478260869565
2010,48,50.52173913043478
2010,49,53.625
2010,50,53.41666666666666
2010,51,65.875
2010,52,49.875
2011,1,46.58333333333334
2011,2,42.75
2011,3,33.041666666666664
2011,4,62.47826086956522
2011,5,49.25
2011,6,64.20833333333333
2011,7,52.625
2011,8,46.45833333333334
2011,9,76.45833333333333
2011,10,71.91304347826087
2011,11,44.625
2011,12,31.125
2011,13,31.16666666666667
2011,14,50.26086956521739
2011,15,61.52173913043478
2011,16,39.25
2011,17,58.125
2011,18,45.30434782608695
2011,19,40.75
2011,20,42.3
2011,21,25.772727272727273
2011,22,53.0
2011,23,42.68181818181818
2011,24,35.47826086956522
2011,25,19.130434782608692
2011,26,36.73913043478261
2011,27,40.73913043478261
2011,28,22.41666666666667
2011,29,35.95652173913044
2011,30,36.333333333333336
2011,31,33.608695652173914
2011,32,34.625
2011,33,34.083333333333336
2011,34,39.54545454545455
2011,35,68.29166666666667
2011,36,60.33333333333334
2011,37,25.5
2011,38,39.583333333333336
2011,39,34.583333333333336
2011,40,47.08333333333334
2011,41,50.04347826086956
2011,42,41.125
2011,43,28.625
2011,44,31.16666666666667
2011,45,30.217391304347824
2011,46,48.58333333333334
2011,47,33.291666666666664
2011,48,37.69565217391305
2011,49,27.29166666666667
2011,50,28.63636363636364
2011,51,34.208333333333336
2011,52,40.208333333333336
2012,1,49.20833333333334
2012,2,43.78260869565217
2012,3,37.5
2012,4,34.291666666666664
2012,5,31.375
2012,6,39.375
2012,7,44.0
2012,8,66.41666666666667
2012,9,44.66666666666666
2012,10,41.125
2012,11,59.125
2012,12,41.41666666666666
2012,13,39.333333333333336
2012,14,43.54166666666666
2012,15,39.29166666666666
2012,16,34.0
2012,17,35.125
2012,18,37.25
2012,19,47.95833333333334
2012,20,45.5
2012,21,33.25
