	year,week,腸病毒: (全球)
2010,40,13.0
2010,41,12.0
2010,42,11.0
2010,43,10.0
2010,44,9.0
2010,45,7.8
2010,46,6.6
2010,47,5.4
2010,48,4.2
2010,49,3.0
2010,50,3.25
2010,51,3.5
2010,52,3.75
2011,1,4.0
2011,2,3.8
2011,3,3.6
2011,4,3.4
2011,5,3.2
2011,6,3.0
2011,7,2.5
2011,8,2.0
2011,9,1.5
2011,10,1.0
2011,11,1.5
2011,12,2.0
2011,13,2.5
2011,14,3.0
2011,15,3.5
2011,16,4.0
2011,17,4.5
2011,18,5.0
2011,19,5.2
2011,20,5.4
2011,21,5.6
2011,22,5.8
2011,23,6.0
2011,24,7.0
2011,25,8.0
2011,26,9.0
2011,27,10.0
2011,28,10.0
2011,29,10.0
2011,30,10.0
2011,31,10.0
2011,32,9.6
2011,33,9.2
2011,34,8.8
2011,35,8.4
2011,36,8.0
2011,37,7.5
2011,38,7.0
2011,39,6.5
2011,40,6.0
2011,41,6.6
2011,42,7.2
2011,43,7.8
2011,44,8.4
2011,45,9.0
2011,46,9.0
2011,47,9.0
2011,48,9.0
2011,49,9.0
2011,50,8.25
2011,51,7.5
2011,52,6.75
2012,1,6.0
2012,2,6.4
2012,3,6.8
2012,4,7.2
2012,5,7.6
2012,6,8.0
2012,7,8.0
2012,8,8.0
2012,9,8.0
2012,10,8.0
2012,11,10.0
2012,12,12.0
2012,13,14.0
2012,14,16.0
2012,15,17.2
2012,16,18.4
2012,17,19.6
2012,18,20.8
2012,19,22.0
2012,20,22.25
2012,21,22.5
2012,22,22.75
2012,23,23.0
2012,24,21.0
2012,25,19.0
2012,26,17.0
2012,27,15.0
2012,28,14.2
2012,29,13.4
2012,30,12.6
2012,31,11.8
2012,32,11.0
2012,33,10.25
2012,34,9.5
2012,35,8.75
2012,36,8.0
2012,37,7.75
2012,38,7.5
2012,39,7.25
2012,40,7.0
2012,41,6.6
2012,42,6.2
2012,43,5.8
2012,44,5.4
2012,45,5.0
2012,46,5.25
2012,47,5.5
2012,48,5.75
2012,49,6.0
2012,50,6.25
2012,51,6.5
2012,52,6.75
2013,1,7.0
2013,2,7.0
2013,3,7.0
2013,4,7.0
2013,5,7.0
2013,6,7.0
2013,7,7.0
2013,8,7.0
2013,9,7.0
2013,10,7.0
2013,11,7.75
2013,12,8.5
2013,13,9.25
2013,14,10.0
2013,15,12.8
2013,16,15.6
2013,17,18.4
2013,18,21.2
2013,19,24.0
2013,20,29.75
2013,21,35.5
2013,22,41.25
2013,23,47.0
2013,24,42.0
2013,25,37.0
2013,26,32.0
2013,27,27.0
2013,28,24.8
2013,29,22.6
2013,30,20.4
2013,31,18.2
2013,32,16.0
2013,33,15.5
2013,34,15.0
2013,35,14.5
2013,36,14.0
2013,37,13.4
2013,38,12.8
2013,39,12.2
2013,40,11.6
2013,41,11.0
2013,42,11.25
2013,43,11.5
2013,44,11.75
2013,45,12.0
2013,46,11.25
2013,47,10.5
2013,48,9.75
2013,49,9.0
2013,50,9.0
2013,51,9.0
2013,52,9.0
2014,1,9.0
2014,2,8.6
2014,3,8.2
2014,4,7.8
2014,5,7.4
2014,6,7.0
2014,7,7.25
2014,8,7.5
2014,9,7.75
2014,10,8.0
2014,11,10.0
2014,12,12.0
2014,13,14.0
2014,14,16.0
2014,15,18.0
2014,16,21.5
2014,17,25.0
2014,18,28.5
2014,19,32.0
2014,20,34.0
2014,21,36.0
2014,22,38.0
2014,23,40.0
2014,24,36.2
2014,25,32.4
2014,26,28.6
2014,27,24.8
2014,28,21.0
2014,29,18.75
2014,30,16.5
2014,31,14.25
2014,32,12.0
2014,33,12.0
2014,34,12.0
2014,35,12.0
2014,36,12.0
2014,37,11.4
2014,38,10.8
2014,39,10.2
2014,40,9.6
2014,41,9.0
2014,42,9.0
2014,43,9.0
2014,44,9.0
2014,45,9.0
2014,46,9.0
2014,47,9.0
2014,48,9.0
2014,49,9.0
2014,50,9.25
2014,51,9.5
2014,52,9.75
2015,1,10.0
2015,2,9.6
2015,3,9.2
2015,4,8.8
2015,5,8.4
2015,6,8.0
2015,7,8.25
2015,8,8.5
2015,9,8.75
2015,10,9.0
2015,11,10.6
2015,12,12.2
2015,13,13.8
2015,14,15.4
2015,15,17.0
2015,16,21.5
2015,17,26.0
2015,18,30.5
2015,19,35.0
2015,20,37.25
2015,21,39.5
2015,22,41.75
2015,23,44.0
2015,24,40.8
2015,25,37.6
2015,26,34.4
2015,27,31.2
2015,28,28.0
2015,29,26.0
2015,30,24.0
2015,31,22.0
2015,32,20.0
2015,33,22.8
2015,34,25.6
2015,35,28.4
2015,36,31.2
2015,37,34.0
2015,38,33.75
2015,39,33.5
2015,40,33.25
2015,41,33.0
2015,42,33.0
2015,43,33.0
2015,44,33.0
2015,45,33.0
2015,46,31.6
2015,47,30.2
2015,48,28.8
2015,49,27.4
2015,50,26.0
2015,51,23.0
2015,52,20.0
2015,53,17.0
2016,1,14.0
2016,2,12.75
2016,3,11.5
2016,4,10.25
2016,5,9.0
2016,6,10.8
2016,7,12.6
2016,8,14.4
2016,9,16.2
2016,10,18.0
2016,11,20.25
2016,12,22.5
2016,13,24.75
2016,14,27.0
2016,15,32.0
2016,16,37.0
2016,17,42.0
2016,18,47.0
2016,19,46.6
2016,20,46.2
2016,21,45.8
2016,22,45.4
2016,23,45.0
2016,24,41.0
2016,25,37.0
2016,26,33.0
2016,27,29.0
2016,28,26.25
2016,29,23.5
2016,30,20.75
2016,31,18.0
2016,32,18.4
2016,33,18.8
2016,34,19.2
2016,35,19.6
2016,36,20.0
2016,37,20.75
2016,38,21.5
2016,39,22.25
2016,40,23.0
2016,41,24.2
2016,42,25.4
2016,43,26.6
2016,44,27.8
2016,45,29.0
2016,46,29.75
2016,47,30.5
2016,48,31.25
2016,49,32.0
2016,50,28.75
2016,51,25.5
2016,52,22.25
2017,1,19.0
2017,2,17.2
2017,3,15.4
2017,4,13.6
2017,5,11.8
2017,6,10.0
2017,7,10.75
2017,8,11.5
2017,9,12.25
2017,10,13.0
2017,11,12.5
2017,12,12.0
2017,13,11.5
2017,14,11.0
2017,15,12.0
2017,16,13.0
2017,17,14.0
2017,18,15.0
2017,19,17.2
2017,20,19.4
2017,21,21.6
2017,22,23.8
2017,23,26.0
2017,24,27.5
2017,25,29.0
2017,26,30.5
2017,27,32.0
2017,28,33.4
2017,29,34.8
2017,30,36.2
2017,31,37.6
2017,32,39.0
2017,33,42.5
2017,34,46.0
2017,35,49.5
2017,36,53.0
2017,37,50.5
2017,38,48.0
2017,39,45.5
2017,40,43.0
2017,41,40.4
2017,42,37.8
2017,43,35.2
2017,44,32.6
2017,45,30.0
2017,46,29.25
2017,47,28.5
2017,48,27.75
2017,49,27.0
2017,50,25.0
2017,51,23.0
2017,52,21.0
2018,1,19.0
2018,2,17.6
2018,3,16.2
2018,4,14.8
2018,5,13.4
2018,6,12.0
2018,7,13.0
2018,8,14.0
2018,9,15.0
2018,10,16.0
2018,11,14.5
2018,12,13.0
2018,13,11.5
2018,14,10.0
