年,週,縣市,total
2013,35,台北市,796
2013,36,台北市,750
2013,37,台北市,678
2013,38,台北市,712
2013,39,台北市,784
2013,40,台北市,858
2013,41,台北市,929
2013,42,台北市,1030
2013,43,台北市,869
2013,44,台北市,846
2013,45,台北市,901
2013,46,台北市,1163
2013,47,台北市,1178
2013,48,台北市,927
2013,49,台北市,761
2013,50,台北市,647
2013,51,台北市,697
2013,52,台北市,696
2014,1,台北市,824
2014,2,台北市,886
2014,3,台北市,788
2014,4,台北市,687
2014,5,台北市,514
2014,6,台北市,340
2014,7,台北市,287
2014,8,台北市,382
2014,9,台北市,432
2014,10,台北市,428
2014,11,台北市,364
2014,12,台北市,442
2014,13,台北市,391
2014,14,台北市,430
2014,15,台北市,629
2014,16,台北市,712
2014,17,台北市,880
2014,18,台北市,1099
2014,19,台北市,1039
2014,20,台北市,1479
2014,21,台北市,2060
2014,22,台北市,2926
2014,23,台北市,3413
2014,24,台北市,3606
2014,25,台北市,3581
2014,26,台北市,3368
2014,27,台北市,2627
2014,28,台北市,1962
2014,29,台北市,1586
2014,30,台北市,1202
2014,31,台北市,896
2014,32,台北市,800
2014,33,台北市,664
2014,34,台北市,562
2014,35,台北市,459
2014,36,台北市,414
2014,37,台北市,427
2014,38,台北市,432
2014,39,台北市,467
2014,40,台北市,417
2014,41,台北市,399
2014,42,台北市,337
2014,43,台北市,310
2014,44,台北市,376
2014,45,台北市,398
2014,46,台北市,342
2014,47,台北市,359
2014,48,台北市,427
2014,49,台北市,452
2014,50,台北市,523
2014,51,台北市,402
2014,52,台北市,417
2014,53,台北市,425
2015,1,台北市,439
2015,2,台北市,432
2015,3,台北市,530
2015,4,台北市,513
2015,5,台北市,444
2015,6,台北市,373
2015,7,台北市,254
2015,8,台北市,300
2015,9,台北市,286
2015,10,台北市,300
2015,11,台北市,403
2015,12,台北市,499
2015,13,台北市,457
2015,14,台北市,597
2015,15,台北市,514
2015,16,台北市,621
2015,17,台北市,809
2015,18,台北市,943
2015,19,台北市,1217
2015,20,台北市,1382
2015,21,台北市,1450
2015,22,台北市,1747
2015,23,台北市,1937
2015,24,台北市,1848
2015,25,台北市,1941
2015,26,台北市,1793
2015,27,台北市,1630
2015,28,台北市,1374
2015,29,台北市,1156
2015,30,台北市,1088
2015,31,台北市,853
2015,32,台北市,843
2015,33,台北市,774
2015,34,台北市,795
2015,35,台北市,825
2015,36,台北市,1140
2015,37,台北市,1064
2015,38,台北市,1142
2015,39,台北市,1022
2015,40,台北市,1106
2015,41,台北市,1194
2015,42,台北市,1010
2015,43,台北市,1209
2015,44,台北市,1337
2015,45,台北市,1375
2015,46,台北市,1517
2015,47,台北市,1546
2015,48,台北市,1320
2015,49,台北市,1180
2015,50,台北市,1120
2015,51,台北市,1043
2015,52,台北市,952
2016,1,台北市,970
2016,2,台北市,859
2016,3,台北市,849
2016,4,台北市,658
2016,5,台北市,523
2016,6,台北市,276
2016,7,台北市,379
2016,8,台北市,363
2016,9,台北市,275
2016,10,台北市,304
2016,11,台北市,301
2016,12,台北市,382
2016,13,台北市,418
2016,14,台北市,484
2016,15,台北市,584
2016,16,台北市,688
2016,17,台北市,811
2016,18,台北市,1081
2016,19,台北市,1423
2016,20,台北市,1528
2016,21,台北市,1756
2016,22,台北市,2091
2016,23,台北市,2036
2016,24,台北市,2174
2016,25,台北市,2073
2016,26,台北市,1881
2016,27,台北市,1622
2016,28,台北市,1243
2016,29,台北市,1043
2016,30,台北市,954
2016,31,台北市,809
2016,32,台北市,749
2016,33,台北市,753
2016,34,台北市,654
2016,35,台北市,615
2016,36,台北市,508
2016,37,台北市,462
2016,38,台北市,721
2016,39,台北市,656
2016,40,台北市,645
2016,41,台北市,647
2016,42,台北市,857
2016,43,台北市,989
2016,44,台北市,1108
2016,45,台北市,1178
2016,46,台北市,1262
2016,47,台北市,1734
2016,48,台北市,1978
2016,49,台北市,1983
2016,50,台北市,1913
2016,51,台北市,1692
2016,52,台北市,1909
2017,1,台北市,1483
2017,2,台北市,1330
2017,3,台北市,1181
2017,4,台北市,834
2017,5,台北市,482
2017,6,台北市,444
2017,7,台北市,400
2017,8,台北市,333
2017,9,台北市,379
2017,10,台北市,299
2017,11,台北市,348
2017,12,台北市,401
2017,13,台北市,420
2017,14,台北市,276
2017,15,台北市,303
2017,16,台北市,330
2017,17,台北市,354
2017,18,台北市,378
2017,19,台北市,400
2017,20,台北市,497
2017,21,台北市,553
2017,22,台北市,550
2017,23,台北市,711
2017,24,台北市,928
2017,25,台北市,1079
2017,26,台北市,1199
2017,27,台北市,1253
2017,28,台北市,1362
2017,29,台北市,1390
2017,30,台北市,1234
2017,31,台北市,1080
2017,32,台北市,1122
2017,33,台北市,1162
2017,34,台北市,1067
2017,35,台北市,1240
2017,36,台北市,1315
2017,37,台北市,1494
2017,38,台北市,1556
2017,39,台北市,1581
2017,40,台北市,1530
2017,41,台北市,1377
2017,42,台北市,1462
2017,43,台北市,1558
2017,44,台北市,1410
2017,45,台北市,1395
2017,46,台北市,1419
2017,47,台北市,1377
2017,48,台北市,1239
2017,49,台北市,1088
2017,50,台北市,1025
2017,51,台北市,887
2017,52,台北市,831
2018,1,台北市,767
2018,2,台北市,717
2018,3,台北市,576
2018,4,台北市,565
2018,5,台北市,446
2018,6,台北市,325
2018,7,台北市,237
2018,8,台北市,273
2018,9,台北市,310
2018,10,台北市,337
2018,11,台北市,356
2018,12,台北市,337
