日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012/01/03,松山,CH4,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2012/01/03,松山,CO,0.48,0.4,0.29,0.31,0.3,0.32,0.47,0.81,0.96,0.57,0.52,0.38,0.35,0.37,0.37,0.37,0.39,0.49,0.57,0.57,0.54,0.51,0.47,0.38
2012/01/03,松山,NMHC,0.17,0.19,0.1,0.11,0.12,0.13,0.18,0.29,0.37,0.23,0.27,0.19,0.14,0.18,0.19,0.19,0.21,0.24,0.24,0.22,0.17,0.12,0.1,0.09
2012/01/03,松山,NO,2.9,2.4,2.3,2.7,3.5,3.7,8.4,23,35,11,15,7.9,6.7,8.7,8.9,7.2,6.8,7.7,6.8,7.8,5.4,4.2,3.8,3.4
2012/01/03,松山,NO2,22,19,11,12,12,16,30,39,40,32,33,22,20,26,25,22,24,27,27,30,24,16,12,10
2012/01/03,松山,NOx,25,22,13,15,15,20,39,63,75,43,48,30,27,34,34,29,31,35,34,37,29,20,16,14
2012/01/03,松山,O3,18,21,29,28,27,25,11,4.6,6.1,16,15,24,25,19,20,23,21,20,19,14,19,27,32,35
2012/01/03,松山,PM10,53,47,58,50,46,55,56,40,37,51,58,47,39,29,32,39,29,22,16,29,36,16,11,31
2012/01/03,松山,PM2.5,41,38,29,29,24,27,28,37,33,29,21,24,29,26,23,18,16,23,20,25,15,14,16,20
2012/01/03,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.2,NR,NR
2012/01/03,松山,RH,78,78,78,78,79,79,80,79,77,70,68,73,78,82,84,83,81,80,82,84,85,83,79,78
2012/01/03,松山,SO2,6.2,6.4,4.6,4.7,5.1,3.7,3.2,3.8,5.1,2.5,3,2.5,2,5.1,5.3,1.8,1.5,1.4,1.6,3.6,2.2,2.8,3,2.3
2012/01/03,松山,THC,2.1,2.2,2,2,2,2,2.1,2.2,2.3,2.1,2.2,2.1,2,2.1,2,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2
2012/01/03,松山,WD_HR,91,88,93,82,81,77,83,81,90,66,79,71,67,75,71,73,67,72,75,84,70,66,60,59
2012/01/03,松山,WIND_DIREC,90,85,91,89,73,82,88,89,77,65,85,74,75,76,69,75,57,74,91,95,60,62,65,66
2012/01/03,松山,WIND_SPEED,1.2,1.9,1.9,1.5,2,1.5,1.4,1.5,1.5,2.2,2.3,3.6,2.3,2.8,3,2.6,3.4,2.1,1.8,1.8,3,3.7,3.9,2.9
2012/01/03,松山,WS_HR,1.5,1.4,1.7,1.4,1.8,1.7,1.4,1.4,1.6,2.3,1.8,3,2.3,2.4,3,2.6,2.3,2.2,1.9,1.6,2.1,2.3,3.2,2.4
2012/01/04,松山,AMB_TEMP,13,13,13,12,12,12,12,11,11,11,11,11,10,10,9.7,9.6,9.9,10,10,10,10,10,11,11
2012/01/04,松山,CH4,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,2,1.9,2,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2012/01/04,松山,CO,0.39,0.45,0.49,0.55,0.59,0.64,0.69,0.76,0.73,0.68,0.52,0.48,0.49,0.5,0.53,0.64,0.62,0.77,0.76,0.69,0.62,0.57,0.57,0.45
2012/01/04,松山,NMHC,0.08,0.09,0.1,0.12,0.12,0.13,0.14,0.16,0.2,0.22,0.19,0.18,0.16,0.16,0.16,0.23,0.24,0.28,0.27,0.21,0.19,0.16,0.16,0.11
2012/01/04,松山,NO,3,3.2,2.9,1.6,1.9,1.9,4.4,7.5,12,23,10,8.6,7.4,5.9,8.9,13,11,18,10,8,8.3,8,5.4,3.3
2012/01/04,松山,NO2,8.6,7.8,8.1,8,9,11,18,22,27,36,25,24,21,19,24,32,31,38,33,31,29,25,24,16
2012/01/04,松山,NOx,12,11,11,9.6,11,13,22,29,39,59,35,32,28,25,33,45,41,55,43,39,37,33,29,19
2012/01/04,松山,O3,36,38,36,29,25,22,16,13,12,7,11,10,13,15,13,7.9,9.6,4.2,7.4,8.2,10,14,15,22
2012/01/04,松山,PM10,32,20,19,10,7,7,10,21,20,26,43,54,68,73,68,73,87,99,102,87,84,77,49,43
2012/01/04,松山,PM2.5,21,17,19,19,17,15,16,18,17,19,28,32,42,40,43,38,43,46,50,51,46,36,34,30
2012/01/04,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,0.4,0.4,0.2,0.6,NR,0.2,NR,0.2,0.2,NR,NR,NR,NR,NR,NR,NR,NR
2012/01/04,松山,RH,77,79,79,78,76,76,76,77,78,79,79,76,74,74,76,78,75,77,73,74,77,79,77,75
2012/01/04,松山,SO2,2.6,3.3,4.6,5.6,5.6,5.4,5.1,5.1,4.2,3.9,3.7,4,4.4,4.7,4.8,5.1,5.4,5.2,5.9,6,5.2,4.4,3.6,3.5
2012/01/04,松山,THC,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2
2012/01/04,松山,WD_HR,61,60,62,62,63,67,71,64,70,67,60,67,59,61,64,76,63,89,82,99,91,83,81,89
2012/01/04,松山,WIND_DIREC,60,66,53,55,54,79,64,70,73,64,62,71,59,71,81,77,72,88,98,114,93,81,87,95
2012/01/04,松山,WIND_SPEED,2.9,2,3.1,2.9,2.8,1.8,2,2.7,2,1.9,1.5,2.6,2.8,2.3,1.9,1.5,1.7,1.4,1.1,1.5,1.9,1.8,2,2.3
2012/01/04,松山,WS_HR,2.4,2.1,2.1,1.9,2.3,2.1,1.8,2,1.9,1.5,1.7,1.9,2.1,2.1,1.9,1.6,1.7,1.2,1.3,1.2,1.4,1.7,1.7,1.7
2012/01/05,松山,AMB_TEMP,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14
2012/01/05,松山,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9#,1.9,1.9,1.9,2,1.9,2,1.9,1.9,2,1.9,2,2,2
2012/01/05,松山,CO,0.36,0.33,0.31,0.27,0.28,0.29,0.38,0.62,0.85,0.76,.56#,.55#,0.57,0.47,0.52,0.59,0.71,0.84,0.96,0.98,0.74,0.76,0.73,0.6
2012/01/05,松山,NMHC,0.09,0.08,0.08,0.08,0.07,0.08,0.12,0.2,0.31,0.3,.24#,0.24,0.23,0.2,0.25,0.26,0.39,0.39,0.4,0.39,0.28,0.28,0.26,0.19
2012/01/05,松山,NO,2.3,1.9,1.4,1.6,0.7,1.4,3.9,13,22,27,19#,14#,13,12,12,15,28,36,31,31,15,15,12,5.6
