年,週,mean_value
2011,27,49.0
2011,28,30.79166666666667
2011,29,55.16666666666666
2011,30,58.59090909090909
2011,31,48.16666666666666
2011,32,47.91666666666666
2011,33,60.08333333333334
2011,34,55.70833333333334
2011,35,101.5
2011,36,86.08333333333331
2011,37,38.91666666666666
2011,38,72.75
2011,39,50.875
2011,40,79.91666666666667
2011,41,81.83333333333333
2011,42,70.33333333333333
2011,43,41.54166666666666
2011,44,50.58333333333334
2011,45,38.29166666666666
2011,46,72.5
2011,47,61.08333333333334
2011,48,65.33333333333333
2011,49,36.875
2011,50,41.083333333333336
2011,51,58.83333333333334
2011,52,67.25
2012,1,86.08333333333331
2012,2,62.29166666666666
2012,3,52.20833333333334
2012,4,46.45833333333334
2012,5,48.875
2012,6,60.875
2012,7,58.95652173913044
2012,8,114.08333333333331
2012,9,68.875
2012,10,64.70833333333333
2012,11,99.20833333333331
2012,12,55.625
2012,13,86.875
2012,14,92.25
2012,15,79.04166666666667
2012,16,54.58333333333334
2012,17,54.95833333333334
2012,18,70.875
2012,19,70.41666666666667
2012,20,76.625
2012,21,58.875
2012,22,42.54166666666666
2012,23,58.58333333333334
2012,24,65.79166666666667
2012,25,16.5
2012,26,32.625
2012,27,59.20833333333334
2012,28,56.125
2012,29,48.33333333333334
2012,30,19.33333333333333
2012,31,66.375
2012,32,61.33333333333334
2012,33,30.91666666666667
2012,34,24.45833333333333
2012,35,70.66666666666667
2012,36,36.75
2012,37,66.33333333333333
2012,38,71.45833333333333
2012,39,69.04166666666667
2012,40,52.45833333333334
2012,41,64.875
2012,42,65.875
2012,43,61.04166666666666
2012,44,74.0
2012,45,83.16666666666667
2012,46,74.45833333333333
2012,47,48.0
2012,48,56.0
2012,49,100.79166666666669
2012,50,51.79166666666666
2012,51,45.58333333333334
2012,52,77.95833333333333
2013,1,44.125
2013,2,31.54166666666667
2013,3,61.79166666666666
2013,4,103.58333333333331
2013,5,56.29166666666666
2013,6,67.47826086956522
2013,7,82.0
2013,8,77.79166666666667
2013,9,102.75
2013,10,77.45833333333333
2013,11,89.25
2013,12,69.625
2013,13,62.04166666666666
2013,14,81.54166666666667
2013,15,100.375
2013,16,67.25
2013,17,98.25
2013,18,44.16666666666666
2013,19,58.25
2013,20,40.75
2013,21,35.041666666666664
2013,22,48.33333333333334
2013,23,40.375
2013,24,35.583333333333336
2013,25,60.0
2013,26,57.45833333333334
2013,27,42.91666666666666
2013,28,26.75
2013,29,34.708333333333336
2013,30,46.45833333333334
2013,31,34.75
2013,32,40.0
2013,33,31.58333333333333
2013,34,38.5
2013,35,34.083333333333336
2013,36,44.25
2013,37,31.20833333333333
2013,38,47.41666666666666
2013,39,41.54166666666666
2013,40,55.91666666666666
2013,41,63.95833333333334
2013,42,46.91666666666666
2013,43,77.20833333333333
2013,44,37.29166666666666
2013,45,51.08333333333334
2013,46,124.83333333333331
2013,47,102.875
2013,48,126.83333333333331
2013,49,69.45833333333333
2013,50,118.29166666666669
2013,51,64.625
2013,52,129.91666666666666
2014,1,138.2608695652174
2014,2,60.79166666666666
2014,3,94.29166666666669
2014,4,129.54166666666666
2014,5,57.75
2014,6,45.875
2014,7,38.41666666666666
2014,8,61.25
2014,9,78.08333333333333
2014,10,37.833333333333336
2014,11,87.29166666666669
2014,12,77.5
2014,13,91.95833333333331
2014,14,77.5
2014,15,52.875
2014,16,74.41666666666667
2014,17,52.5
2014,18,59.29166666666666
2014,19,37.875
