年,週,mean_value
2008,1,30.78375
2008,2,55.03695652173913
2008,3,29.99666666666667
2008,4,28.95125
2008,5,32.92652173913043
2008,6,39.5925
2008,7,34.190000000000005
2008,8,62.58791666666667
2008,9,49.15333333333333
2008,10,42.465833333333336
2008,11,38.2313043478261
2008,12,46.340869565217396
2008,13,50.65
2008,14,59.73833333333334
2008,15,40.15260869565218
2008,16,40.299583333333345
2008,17,39.96476190476191
2008,18,40.86681818181818
2008,19,43.41130434782608
2008,20,21.022083333333327
2008,21,34.94625
2008,22,33.882173913043474
2008,23,42.73625000000001
2008,24,31.31458333333333
2008,25,30.12125
2008,26,30.65708333333333
2008,27,33.38
2008,28,29.99875
2008,29,21.464583333333334
2008,30,32.83222222222222
2008,31,24.905000000000005
2008,32,21.78208333333333
2008,33,33.32875
2008,34,24.51458333333333
2008,35,27.91833333333333
2008,36,38.72541666666667
2008,37,17.238333333333333
2008,38,29.922083333333337
2008,39,11.297916666666666
2008,40,29.92625
2008,41,25.01708333333333
2008,42,23.56478260869565
2008,43,33.0025
2008,44,33.36347826086956
2008,45,30.98083333333333
2008,46,36.25818181818182
2008,47,32.07375
2008,48,31.04695652173913
2008,49,40.89375
2008,50,33.46958333333333
2008,51,44.60791666666668
2008,52,32.156666666666666
2009,1,27.245000000000005
2009,2,29.187391304347827
2009,3,45.16208333333334
2009,4,36.545
2009,5,21.94833333333333
2009,6,40.459565217391315
2009,7,45.13
2009,8,38.70291666666667
2009,9,38.64416666666667
2009,10,27.96791666666667
2009,11,38.08416666666667
2009,12,42.96666666666666
2009,13,43.3725
2009,14,38.89291666666667
2009,15,40.00833333333333
2009,16,34.658750000000005
2009,17,33.747619047619054
2009,18,22.587083333333336
2009,19,26.204285714285717
2009,20,29.77125
2009,21,29.298333333333336
2009,22,32.46708333333333
2009,23,31.01833333333333
2009,24,29.9375
2009,25,33.3275
2009,26,28.31916666666667
2009,27,28.085416666666664
2009,28,25.856666666666666
2009,29,24.526363636363634
2009,30,27.5325
2009,31,32.60791666666666
2009,32,24.705
2009,33,29.195
2009,34,27.07333333333333
2009,35,28.97333333333333
2009,36,15.716666666666665
2009,37,19.720416666666665
2009,38,32.33083333333334
2009,39,17.414545454545454
2009,40,24.8925
2009,41,25.136190476190468
2009,42,29.40363636363636
2009,43,27.071666666666665
2009,44,26.10833333333333
2009,45,34.12083333333333
2009,46,35.086666666666666
2009,47,27.28916666666667
2009,48,26.82416666666667
2009,49,27.33916666666667
2009,50,42.7875
2009,51,29.10958333333333
2009,52,42.18782608695653
2009,53,37.459583333333335
2010,1,39.03333333333333
2010,2,32.40208333333333
2010,3,47.65833333333334
2010,4,50.18958333333334
2010,5,40.63913043478261
2010,6,49.83791666666667
2010,7,28.03
2010,8,54.91791666666668
2010,9,48.40166666666667
2010,10,44.93565217391304
2010,11,41.56608695652174
2010,12,37.13
2010,13,37.67333333333333
2010,14,45.61666666666667
2010,15,37.599583333333335
2010,16,41.65333333333333
2010,17,51.70083333333334
2010,18,45.46916666666666
2010,19,41.724583333333335
2010,20,32.503913043478256
2010,21,31.57
2010,22,26.90782608695652
2010,23,39.962916666666665
2010,24,35.98916666666667
2010,25,37.803333333333335
2010,26,39.15625
2010,27,30.52333333333333
2010,28,34.22958333333333
2010,29,32.66375
2010,30,32.1425
2010,31,27.404347826086955
2010,32,34.37391304347826
2010,33,33.75083333333334
2010,34,19.895416666666666
2010,35,39.60916666666667
2010,36,29.012916666666666
2010,37,35.07875
2010,38,28.933913043478263
2010,39,31.52875
2010,40,24.49208333333333
2010,41,23.78458333333333
2010,42,28.411249999999995
2010,43,45.567083333333336
2010,44,31.99708333333333
2010,45,31.74333333333333
2010,46,31.694583333333334
2010,47,29.74666666666667
2010,48,41.240833333333335
2010,49,53.71541666666666
2010,50,52.43083333333334
2010,51,36.977916666666665
2010,52,44.47541666666666
2011,1,30.90416666666667
2011,2,42.083333333333336
2011,3,28.29166666666667
2011,4,28.633333333333336
2011,5,29.41666666666667
2011,6,38.375
2011,7,43.95833333333334
2011,8,40.375
2011,9,65.69565217391305
2011,10,41.41666666666666
2011,11,47.91666666666666
2011,12,32.93333333333333
2011,13,32.22083333333333
2011,14,40.04347826086956
2011,15,50.91304347826087
2011,16,36.54166666666666
2011,17,48.41666666666666
2011,18,40.375
2011,19,34.38333333333333
2011,20,36.52173913043478
2011,21,33.25
2011,22,38.79166666666666
2011,23,28.75
2011,24,29.26086956521739
2011,25,22.2625
2011,26,26.54166666666667
2011,27,26.08333333333333
2011,28,29.20833333333333
2011,29,27.375
2011,30,26.04347826086957
2011,31,23.625
2011,32,29.66666666666667
2011,33,25.54166666666667
2011,34,27.70833333333333
2011,35,31.95833333333333
2011,36,28.83333333333333
2011,37,20.425
2011,38,25.7625
2011,39,26.554166666666664
2011,40,27.228571428571428
2011,41,24.65217391304348
2011,42,30.55
2011,43,28.04166666666667
2011,44,28.15217391304348
2011,45,27.54166666666667
2011,46,32.885000000000005
2011,47,23.966666666666665
2011,48,25.17391304347826
2011,49,27.712499999999995
2011,50,30.57619047619048
2011,51,30.390476190476193
2011,52,37.75
2012,1,31.95833333333333
2012,2,30.20833333333333
2012,3,48.09090909090909
2012,4,26.375
2012,5,26.8375
2012,6,35.81818181818182
2012,7,32.21052631578947
2012,8,62.375
2012,9,41.708333333333336
2012,10,36.90416666666667
2012,11,53.83333333333334
2012,12,42.208333333333336
2012,13,29.91666666666667
2012,14,36.725
2012,15,32.516666666666666
2012,16,38.958333333333336
2012,17,41.695454545454545
2012,18,29.579166666666666
2012,19,32.666666666666664
2012,20,27.71666666666667
