年,週,mean_value
2010,17,2.016208333333333
2010,18,1.937625
2010,19,1.983833333333333
2010,20,1.867045454545455
2010,21,1.987083333333333
2010,22,1.6916521739130437
2010,23,1.9332916666666664
2010,24,2.0315
2010,25,1.76425
2010,26,1.6749130434782606
2010,27,1.537086956521739
2010,28,1.5817391304347823
2010,29,1.6680000000000001
2010,30,2.1291666666666664
2010,31,1.9104761904761909
2010,32,2.113130434782609
2010,33,1.8731666666666669
2010,34,1.9189166666666668
2010,35,2.233125
2010,36,1.971875
2010,37,1.9642083333333336
2010,38,1.9939583333333333
2010,39,2.1002500000000004
2010,40,2.0109166666666667
2010,41,1.9844347826086957
2010,42,2.0627916666666666
2010,43,2.0760416666666663
2010,44,1.9793333333333336
2010,45,2.0085
2010,46,2.048583333333333
2010,47,2.0115
2010,48,2.1061666666666667
2010,49,2.189208333333333
2010,50,2.1265416666666668
2010,51,2.158875
2010,52,2.1595833333333334
2011,1,1.9791666666666667
2011,2,2.1958333333333333
2011,3,2.0458333333333334
2011,4,1.9875
2011,5,2.1416666666666666
2011,6,2.183333333333333
2011,7,2.095833333333333
2011,8,2.420833333333333
2011,9,2.6749999999999994
2011,10,2.2041666666666666
2011,11,2.4625
2011,12,2.3208333333333333
2011,13,2.208333333333333
2011,14,2.158333333333333
2011,15,2.3708333333333336
2011,16,2.216666666666667
2011,17,2.2375000000000003
2011,18,2.254166666666667
2011,19,2.1
2011,20,2.2291666666666665
2011,21,2.1666666666666665
2011,22,2.1083333333333334
2011,23,2.145454545454545
2011,24,2.0434782608695654
2011,25,1.9875
2011,26,1.9260869565217396
2011,27,1.9416666666666664
2011,28,1.925
2011,29,1.95
2011,30,1.9
2011,31,1.9666666666666668
2011,32,2.0875000000000004
2011,33,2.020833333333333
2011,34,1.9291666666666665
2011,35,2.0625
2011,36,2.079166666666667
2011,37,1.9583333333333333
2011,38,2.025
2011,39,2.004166666666667
2011,40,1.9333333333333331
2011,41,2.175
2011,42,1.9791666666666667
2011,43,2.1
2011,44,1.9875
2011,45,1.9625
2011,46,2.4
2011,47,1.9875
2011,48,1.9666666666666668
2011,49,1.9541666666666664
2011,50,1.9625
2011,51,2.039130434782609
2011,52,2.254166666666667
2012,1,2.0416666666666665
2012,2,1.9791666666666667
2012,3,2.2291666666666665
2012,4,2.154166666666667
2012,5,2.0458333333333334
2012,6,2.266666666666667
2012,7,2.2590909090909093
2012,8,2.3541666666666665
2012,9,2.1958333333333333
2012,10,2.1875
2012,11,2.3375
2012,12,2.154166666666667
2012,13,2.029166666666667
2012,14,2.083333333333333
2012,15,2.125
2012,16,2.1666666666666665
2012,17,2.2375000000000003
2012,18,2.0375
2012,19,2.0875
2012,20,1.9958333333333331
2012,21,2.025
2012,22,1.9541666666666668
