年,週,mean_value
2008,1,9.220833333333333
2008,2,9.6875
2008,3,5.3
2008,4,6.404347826086957
2008,5,4.216666666666666
2008,6,5.95
2008,7,5.116666666666666
2008,8,9.285714285714286
2008,9,7.479166666666668
2008,10,11.508333333333333
2008,11,6.878260869565217
2008,12,8.612499999999999
2008,13,9.320833333333333
2008,14,5.333333333333333
2008,15,7.195833333333333
2008,16,9.070833333333333
2008,17,8.604166666666666
2008,18,9.645833333333334
2008,19,10.943478260869565
2008,20,5.643478260869566
2008,21,6.4
2008,22,7.945833333333333
2008,23,8.420833333333334
2008,24,4.666666666666667
2008,25,7.866666666666667
2008,26,6.478260869565218
2008,27,9.495833333333332
2008,28,4.645833333333333
2008,29,6.658333333333334
2008,30,21.79583333333333
2008,31,4.120833333333334
2008,32,7.979166666666668
2008,33,9.029166666666667
2008,34,8.1875
2008,35,8.120833333333334
2008,36,5.804166666666666
2008,37,4.291666666666667
2008,38,10.6625
2008,39,3.0863636363636364
2008,40,9.275
2008,41,3.920833333333333
2008,42,4.2214285714285715
2008,43,10.158333333333333
2008,44,6.957142857142857
2008,45,9.008333333333336
2008,46,4.845833333333332
2008,47,6.279166666666666
2008,48,6.258333333333333
2008,49,5.9208333333333325
2008,50,5.662499999999999
2008,51,9.416666666666666
2008,52,5.083333333333333
2009,1,6.6875
2009,2,8.169565217391305
2009,3,7.341666666666666
2009,4,7.675
2009,5,2.45
2009,6,3.845833333333333
2009,7,6.45
2009,8,5.433333333333334
2009,9,5.283333333333334
2009,10,3.329166666666667
2009,11,6.63684210526316
2009,12,7.991666666666667
2009,13,4.7125
2009,14,4.929166666666666
2009,15,5.6083333333333325
2009,16,3.8625
2009,17,3.8166666666666655
2009,18,4.304166666666666
2009,19,4.311111111111111
2009,20,5.4
2009,21,5.447826086956521
2009,22,6.366666666666667
2009,23,5.4
2009,24,3.925
2009,25,4.666666666666667
2009,26,4.754166666666666
2009,27,4.608333333333333
2009,28,7.004166666666667
2009,29,3.8708333333333336
2009,30,7.142857142857142
2009,31,5.2375
2009,32,4.3625
2009,33,4.733333333333333
2009,34,6.445833333333333
2009,35,8.5
2009,36,3.254166666666667
2009,37,3.1916666666666664
2009,38,12.058333333333332
2009,39,4.275
2009,40,3.4874999999999994
2009,41,3.2625000000000006
2009,42,4.069565217391304
2009,43,3.4625
2009,44,3.520833333333333
2009,45,6.245833333333334
2009,46,3.875
2009,47,2.9416666666666664
2009,48,3.5708333333333333
2009,49,5.645833333333332
2009,50,7.441666666666666
2009,51,7.291666666666668
2009,52,7.754166666666666
2009,53,6.020833333333332
2010,1,5.4375
2010,2,4.658333333333333
2010,3,7.366666666666667
2010,4,6.354166666666668
2010,5,5.716666666666666
2010,6,9.241666666666667
2010,7,20.15
2010,8,19.25652173913043
2010,9,8.0375
2010,10,6.2
2010,11,5.883333333333333
2010,12,4.808333333333334
2010,13,4.975
2010,14,7.05
