日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2013/01/01,松山,AMB_TEMP,12,13,13,13,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14
2013/01/01,松山,CH4,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9
2013/01/01,松山,CO,0.83,0.85,0.62,0.48,0.39,0.37,0.41,0.49,0.47,0.44,0.44,0.52,0.52,0.51,0.44,0.45,0.45,0.53,0.55,0.55,0.58,0.63,0.51,0.41
2013/01/01,松山,NMHC,0.28,0.27,0.2,0.15,0.12,0.1,0.11,0.15,0.13,0.11,0.13,0.18,0.18,0.17,0.12,0.14,0.14,0.19,0.19,0.17,0.19,0.22,0.16,0.11
2013/01/01,松山,NO,16,14,6.1,1.9,1.3,1.3,2.2,3.7,5.1,7.6,9.1,15,15,16,8.7,9.9,10,9.9,10,9,16,17,8.8,3.3
2013/01/01,松山,NO2,30,30,27,19,15,13,17,23,25,27,27,30,28,30,28,30,31,32,32,30,32,33,28,22
2013/01/01,松山,NOx,46,44,33,21,16,14,19,27,31,34,37,45,43,45,36,40,41,42,42,39,48,50,37,26
2013/01/01,松山,O3,3.5,3.9,8.4,14,19,21,19,13,13,9.9,8.4,7.9,7.2,6.3,10,8.1,7.3,5.8,5.3,5.6,3.2,2.6,7.3,13
2013/01/01,松山,PM10,48,58,50,49,46,41,46,41,47,47,53,52,45,39,37,37,34,33,30,26,27,23,24,15
2013/01/01,松山,PM2.5,21,19,21,22,21,24,26,25,25,26,29,21,15,14,21,25,22,21,19,23,18,17,12,11
2013/01/01,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.8,NR,0.8,0.6,0.4,0.4,0.8,1.2,0.6,0.6,0.8,NR,0.8,1.4,0.8
2013/01/01,松山,RH,72,74,74,73,72,71,72,74,77,84,87,88,89,89,89,90,90,90,90,91,91,91,92,92
2013/01/01,松山,SO2,5,3.2,4.1,3.4,3.6,3.3,2.1,3.3,3,2.4,2.5,2.6,2.1,2.3,1.3,2.1,2.3,2.9,2.1,1.4,1.9,2.1,1.3,1
2013/01/01,松山,THC,2.2,2.2,2.1,2.1,2,2,2,2.1,2,2,2,2.1,2.1,2.1,2,2,2,2.1,2.1,2.1,2.1,2.2,2.1,2
