時間,地區,max_temp,min_temp,average_temp
2010-03-22,大直,28.6,21.0,24.33750000000001
2010-03-23,大直,29.8,20.6,24.97083333333333
2010-03-24,大直,26.2,18.5,21.229166666666668
2010-03-25,大直,18.2,13.1,14.516666666666666
2010-03-26,大直,15.6,14.3,15.066666666666668
2010-03-27,大直,21.4,14.9,18.341666666666665
2010-03-28,大直,18.8,16.3,17.6375
2010-03-29,大直,22.8,15.8,19.30416666666667
2010-03-30,大直,25.0,19.9,22.22916666666667
2010-03-31,大直,26.8,18.4,22.64583333333333
2010-04-01,大直,27.9,19.2,23.80833333333333
2010-04-02,大直,21.2,14.9,17.195833333333333
2010-04-03,大直,19.7,15.6,17.779166666666672
2010-04-04,大直,22.4,18.0,18.970833333333328
2010-04-05,大直,22.1,18.0,20.120833333333334
2010-04-06,大直,22.1,19.1,20.695833333333333
2010-04-07,大直,18.5,16.2,16.9625
2010-04-08,大直,20.6,15.8,17.6875
2010-04-09,大直,21.0,16.2,17.829166666666666
2010-04-10,大直,25.9,15.9,20.7875
2010-04-11,大直,25.8,19.5,22.55833333333333
2010-04-12,大直,31.1,20.6,24.95
2010-04-13,大直,22.5,16.2,19.0125
2010-04-14,大直,23.0,15.6,19.254166666666666
2010-04-15,大直,19.3,13.8,15.8125
2010-04-16,大直,17.5,14.0,15.720833333333333
2010-04-17,大直,23.5,18.1,21.204166666666666
2010-04-18,大直,23.3,19.9,21.375
2010-04-19,大直,31.5,20.4,24.850000000000005
2010-04-20,大直,30.1,21.9,25.29583333333333
2010-04-21,大直,32.1,22.2,26.48333333333333
2010-04-22,大直,31.4,19.5,24.84166666666667
2010-04-23,大直,19.2,16.9,17.691666666666666
2010-04-24,大直,18.5,16.4,17.900000000000006
2010-04-25,大直,24.0,18.2,21.6375
2010-04-26,大直,27.8,18.9,22.17083333333333
2010-04-27,大直,22.2,17.5,19.77083333333333
2010-04-28,大直,23.5,16.8,20.6
2010-04-29,大直,23.8,19.8,21.9375
2010-04-30,大直,27.6,18.5,23.66666666666667
2010-05-01,大直,28.5,20.1,24.954166666666666
2010-05-02,大直,29.1,22.3,25.85416666666667
2010-05-03,大直,29.6,23.8,26.36666666666667
2010-05-04,大直,30.6,24.6,27.08333333333333
2010-05-05,大直,30.9,24.1,27.3625
2010-05-06,大直,27.8,24.5,25.45833333333333
2010-05-07,大直,26.6,21.6,23.2375
2010-05-08,大直,24.4,21.5,23.179166666666664
2010-05-09,大直,27.2,21.4,24.42916666666667
2010-05-10,大直,25.0,18.6,21.025
2010-05-11,大直,22.6,19.2,21.316666666666666
2010-05-12,大直,24.4,22.3,23.454166666666666
2010-05-13,大直,27.5,22.4,24.941666666666666
2010-05-14,大直,23.8,22.4,23.075
2010-05-15,大直,27.7,22.0,23.516666666666666
2010-05-16,大直,29.5,21.9,24.95833333333333
2010-05-17,大直,29.3,24.1,26.3625
2010-05-18,大直,32.9,25.4,28.3
2010-05-19,大直,33.0,26.1,28.6625
2010-05-20,大直,31.6,25.4,27.3375
2010-05-21,大直,30.8,25.2,28.05833333333333
2010-05-22,大直,33.5,25.7,29.462499999999995
2010-05-23,大直,28.2,22.3,25.325
2010-05-24,大直,26.4,21.9,24.35833333333333
2010-05-25,大直,31.5,22.6,27.09583333333333
2010-05-26,大直,30.9,23.4,27.629166666666666
2010-05-27,大直,27.6,23.3,25.75
2010-05-28,大直,29.6,25.3,27.16666666666667
2010-05-29,大直,26.3,22.3,24.195833333333336
2010-05-30,大直,22.3,19.9,21.266666666666666
2010-05-31,大直,27.0,20.3,23.08333333333333
2010-06-01,大直,25.7,20.7,22.93333333333333
2010-06-02,大直,22.9,19.7,21.579166666666666
2010-06-03,大直,24.2,20.1,22.804166666666664
2010-06-04,大直,26.5,21.7,24.24583333333333
2010-06-05,大直,24.0,21.3,22.16666666666667
2010-06-06,大直,24.3,21.2,22.52083333333333
2010-06-07,大直,27.0,21.8,24.125
2010-06-08,大直,28.1,22.1,25.05
2010-06-09,大直,31.7,23.5,26.75
2010-06-10,大直,29.9,24.7,26.03333333333333
2010-06-11,大直,25.2,22.2,23.96250000000001
2010-06-12,大直,24.0,21.0,22.67083333333333
2010-06-13,大直,26.8,23.2,24.508333333333336
2010-06-14,大直,27.1,24.3,25.366666666666664
2010-06-15,大直,28.2,24.2,25.850000000000005
2010-06-16,大直,31.6,24.6,27.504166666666674
2010-06-17,大直,31.8,25.0,28.3875
2010-06-18,大直,32.6,26.9,30.01250000000001
2010-06-19,大直,33.9,26.2,29.6875
2010-06-20,大直,32.9,26.7,30.0125
2010-06-21,大直,32.8,24.5,27.87083333333333
2010-06-22,大直,32.5,24.8,27.5125
2010-06-23,大直,31.7,25.4,27.133333333333336
2010-06-24,大直,31.8,25.4,27.96250000000001
2010-06-25,大直,28.1,25.8,26.816666666666666
2010-06-26,大直,33.2,25.5,28.11666666666667
2010-06-27,大直,33.7,26.1,28.14583333333333
2010-06-28,大直,32.8,26.1,28.787500000000005
2010-06-29,大直,31.6,26.4,28.179166666666664
2010-06-30,大直,33.7,26.1,29.85
2010-07-01,大直,32.7,27.3,30.04166666666667
2010-07-02,大直,34.9,28.5,31.274999999999995
2010-07-03,大直,37.5,28.9,32.6375
2010-07-04,大直,35.5,29.4,32.12916666666667
2010-07-05,大直,36.5,29.4,32.44166666666667
2010-07-06,大直,36.0,29.7,32.675
2010-07-07,大直,35.3,29.2,31.8625
2010-07-08,大直,34.3,28.5,31.0875
2010-07-09,大直,33.9,28.4,30.79166666666667
2010-07-10,大直,34.0,28.9,30.725000000000005
2010-07-11,大直,33.6,27.8,30.6125
2010-07-12,大直,32.5,28.4,29.925
2010-07-13,大直,33.4,27.4,29.754166666666666
2010-07-14,大直,33.3,27.6,29.766666666666666
2010-07-15,大直,32.9,26.5,29.45833333333333
2010-07-16,大直,33.6,26.7,30.133333333333336
2010-07-17,大直,33.0,27.6,30.516666666666666
2010-07-18,大直,33.4,27.5,30.600000000000005
2010-07-19,大直,33.7,28.1,30.35
2010-07-20,大直,34.2,27.0,29.90833333333333
2010-07-21,大直,34.4,27.8,30.71666666666667
2010-07-22,大直,33.5,28.8,30.9875
2010-07-23,大直,33.4,27.8,30.25
2010-07-24,大直,31.9,26.4,28.3125
2010-07-25,大直,32.4,27.4,29.225
2010-07-26,大直,32.2,27.2,29.35
2010-07-27,大直,30.4,26.6,28.149999999999995
2010-07-28,大直,31.1,25.4,28.23333333333333
2010-07-29,大直,34.9,26.4,29.954166666666666
2010-07-30,大直,33.5,26.4,29.024999999999995
2010-07-31,大直,33.3,26.4,29.8
2010-08-01,大直,34.2,27.5,30.3625
2010-08-02,大直,34.7,27.8,31.399999999999995
2010-08-03,大直,36.4,28.8,31.55
2010-08-04,大直,35.2,28.6,31.412500000000005
2010-08-05,大直,33.3,29.0,30.84166666666667
2010-08-06,大直,30.9,26.9,29.7125
2010-08-07,大直,31.6,26.5,28.95
2010-08-08,大直,31.2,26.7,29.004166666666666
2010-08-09,大直,31.3,26.9,28.975
2010-08-10,大直,35.7,28.4,31.39583333333333
2010-08-11,大直,33.6,27.9,30.570833333333336
2010-08-12,大直,33.3,26.5,28.80833333333333
2010-08-13,大直,34.2,26.2,30.070833333333336
2010-08-14,大直,34.4,26.9,29.429166666666664
2010-08-15,大直,33.7,26.3,29.70833333333333
2010-08-16,大直,33.4,26.3,28.59583333333333
2010-08-17,大直,33.9,25.8,30.08333333333333
2010-08-18,大直,32.8,27.3,30.1625
2010-08-19,大直,33.0,28.7,30.6375
2010-08-20,大直,32.2,28.8,30.1875
2010-08-21,大直,33.7,27.7,30.320833333333336
2010-08-22,大直,33.7,28.8,30.93333333333333
2010-08-23,大直,34.6,28.4,30.93333333333333
2010-08-24,大直,34.4,28.4,30.95833333333333
2010-08-25,大直,33.6,28.1,30.84166666666667
2010-08-26,大直,33.7,28.2,30.60833333333333
2010-08-27,大直,33.4,26.5,29.95000000000001
2010-08-28,大直,34.1,27.6,30.26250000000001
2010-08-29,大直,32.3,27.6,29.287500000000005
2010-08-30,大直,28.3,24.1,25.77083333333333
2010-08-31,大直,25.8,24.3,25.16666666666667
2010-09-01,大直,31.0,25.2,28.55
2010-09-02,大直,33.5,27.9,30.28333333333333
2010-09-03,大直,32.4,29.0,30.41666666666667
2010-09-04,大直,32.0,28.3,29.89583333333333
2010-09-05,大直,32.6,26.5,28.80833333333333
2010-09-06,大直,32.8,27.3,29.75
2010-09-07,大直,33.1,27.8,29.7
2010-09-08,大直,33.0,28.5,30.3875
2010-09-09,大直,30.1,27.1,28.54583333333333
2010-09-10,大直,33.3,25.5,29.05833333333333
2010-09-11,大直,31.9,26.8,28.816666666666666
2010-09-12,大直,32.8,26.0,29.1
2010-09-13,大直,32.8,25.9,29.679166666666664
2010-09-14,大直,31.8,26.9,28.8625
2010-09-15,大直,32.3,25.7,28.954166666666666
2010-09-16,大直,32.6,26.3,29.1
2010-09-17,大直,32.0,26.7,28.945833333333336
2010-09-18,大直,30.2,25.2,28.141666666666666
2010-09-19,大直,29.6,27.0,28.4125
2010-09-20,大直,32.0,26.5,29.2125
2010-09-21,大直,33.9,24.9,29.55833333333333
2010-09-22,大直,33.9,26.1,29.83333333333333
2010-09-23,大直,30.3,24.7,27.16666666666667
2010-09-24,大直,26.0,24.2,24.83333333333333
2010-09-25,大直,30.1,24.1,26.9375
2010-09-26,大直,32.6,26.7,28.91666666666667
2010-09-27,大直,32.9,25.5,28.6625
2010-09-28,大直,31.4,25.3,28.22916666666667
2010-09-29,大直,30.4,24.9,27.7125
2010-09-30,大直,29.0,25.1,26.5625
2010-10-01,大直,29.3,24.6,27.379166666666666
2010-10-02,大直,32.1,26.9,29.2875
2010-10-03,大直,31.8,23.4,26.991666666666664
2010-10-04,大直,25.2,22.8,24.0125
2010-10-05,大直,25.9,23.1,24.195833333333336
2010-10-06,大直,25.9,23.6,24.779166666666665
2010-10-07,大直,28.6,24.9,26.77916666666667
2010-10-08,大直,26.9,23.2,24.820833333333336
2010-10-09,大直,26.8,23.0,24.55
2010-10-10,大直,26.9,22.5,24.8125
2010-10-11,大直,31.4,24.9,27.74583333333333
2010-10-12,大直,31.3,25.3,27.9625
2010-10-13,大直,30.6,26.4,28.0
2010-10-14,大直,30.2,25.2,27.287500000000005
2010-10-15,大直,25.5,23.0,24.4125
2010-10-16,大直,26.5,23.6,24.954166666666666
2010-10-17,大直,26.5,24.3,25.51666666666667
2010-10-18,大直,24.8,23.4,24.241666666666664
2010-10-19,大直,26.3,24.1,25.20416666666667
2010-10-20,大直,26.4,24.0,24.9
2010-10-21,大直,25.2,22.6,23.875
2010-10-22,大直,26.8,22.7,24.941666666666666
2010-10-23,大直,30.0,25.5,27.92083333333333
2010-10-24,大直,29.3,24.8,26.491666666666664
2010-10-25,大直,28.5,21.9,25.10416666666667
2010-10-26,大直,22.2,17.6,19.454166666666666
2010-10-27,大直,18.7,16.7,17.658333333333335
2010-10-28,大直,18.5,16.9,17.691666666666666
2010-10-29,大直,19.6,18.0,18.666666666666668
2010-10-30,大直,18.6,17.9,18.1875
2010-10-31,大直,21.3,18.6,19.995833333333334
2010-11-01,大直,21.8,18.6,20.6375
2010-11-02,大直,23.9,20.6,21.829166666666666
2010-11-03,大直,22.1,19.8,20.979166666666668
2010-11-04,大直,21.7,19.0,20.4875
2010-11-05,大直,23.2,21.1,21.962499999999995
2010-11-06,大直,23.7,21.0,22.191666666666666
2010-11-07,大直,23.3,22.1,22.6875
2010-11-08,大直,23.7,18.6,21.891666666666666
2010-11-09,大直,21.7,17.3,19.329166666666666
2010-11-10,大直,22.7,16.7,20.366666666666667
2010-11-11,大直,25.9,20.7,22.904166666666665
2010-11-12,大直,25.3,21.3,23.391666666666666
2010-11-13,大直,24.3,21.9,22.725
2010-11-14,大直,25.1,21.4,23.3
2010-11-15,大直,23.1,18.2,20.5625
2010-11-16,大直,20.0,18.3,19.179166666666664
2010-11-17,大直,19.9,18.6,19.14583333333333
2010-11-18,大直,21.6,18.8,20.741666666666667
2010-11-19,大直,24.3,19.8,21.433333333333334
2010-11-20,大直,23.5,19.3,21.070833333333336
2010-11-21,大直,25.6,20.9,22.5875
2010-11-22,大直,23.0,19.6,20.9625
2010-11-23,大直,20.4,18.0,18.929166666666667
2010-11-24,大直,22.6,18.4,20.370833333333334
2010-11-25,大直,19.9,17.7,18.575
2010-11-26,大直,20.7,18.0,19.154166666666665
2010-11-27,大直,23.3,17.8,20.83333333333333
2010-11-28,大直,23.5,20.7,22.0
2010-11-29,大直,26.1,19.5,22.03333333333333
2010-11-30,大直,21.9,19.4,20.441666666666666
2010-12-01,大直,24.3,18.7,21.78333333333333
2010-12-02,大直,24.1,19.5,21.8125
2010-12-03,大直,21.3,19.0,19.575
2010-12-04,大直,23.9,18.9,21.283333333333328
2010-12-05,大直,27.1,20.6,22.508333333333336
2010-12-06,大直,24.1,18.5,20.883333333333336
2010-12-07,大直,18.2,12.9,15.141666666666666
2010-12-08,大直,17.0,11.7,14.025
2010-12-09,大直,19.1,10.2,15.379166666666668
2010-12-10,大直,20.0,13.3,17.025000000000002
2010-12-11,大直,20.9,16.6,18.9625
2010-12-12,大直,28.5,19.4,22.62083333333333
2010-12-13,大直,27.0,18.1,21.9875
2010-12-14,大直,22.4,17.4,19.86666666666667
2010-12-15,大直,17.7,14.9,16.8875
2010-12-16,大直,14.0,8.8,10.666666666666666
2010-12-17,大直,13.8,9.5,11.154166666666667
2010-12-18,大直,19.9,12.0,16.304166666666667
2010-12-19,大直,22.0,14.8,17.962500000000006
2010-12-20,大直,22.2,15.6,18.64583333333333
2010-12-21,大直,22.3,16.3,18.725
2010-12-22,大直,20.0,15.7,17.945833333333333
2010-12-23,大直,22.5,14.6,18.9875
2010-12-24,大直,21.1,15.0,17.616666666666664
2010-12-25,大直,14.9,13.0,14.0375
2010-12-26,大直,13.2,7.8,10.733333333333334
2010-12-27,大直,17.0,6.8,12.0
2010-12-28,大直,22.0,8.9,14.825
2010-12-29,大直,22.6,14.4,18.291666666666668
2010-12-30,大直,17.2,12.2,15.2125
2011-01-01,大直,12.0,9.6,10.979166666666664
2011-01-02,大直,15.5,12.2,13.966666666666665
2011-01-03,大直,14.6,12.8,13.570833333333333
2011-01-04,大直,14.0,12.2,13.104166666666664
2011-01-05,大直,19.4,14.2,16.958333333333332
2011-01-06,大直,16.8,10.6,13.433333333333332
2011-01-07,大直,12.5,10.3,11.6625
2011-01-08,大直,16.9,12.6,15.025
2011-01-09,大直,16.4,11.6,14.629166666666668
2011-01-10,大直,12.6,11.2,12.066666666666668
2011-01-11,大直,12.5,9.2,10.85
2011-01-12,大直,12.1,8.5,10.0875
2011-01-13,大直,17.4,12.4,14.85
2011-01-14,大直,21.0,14.5,17.116666666666664
2011-01-15,大直,16.8,8.9,12.641666666666666
2011-01-16,大直,9.3,7.5,8.625
2011-01-17,大直,13.5,8.9,11.791666666666664
2011-01-18,大直,19.3,12.4,16.1125
2011-01-19,大直,18.7,16.5,17.345833333333335
2011-01-20,大直,18.3,15.8,17.070833333333336
2011-01-21,大直,15.7,13.3,14.508333333333333
2011-01-22,大直,16.2,13.2,15.0875
2011-01-23,大直,17.7,14.5,15.7875
2011-01-24,大直,14.5,12.0,13.137499999999998
2011-01-25,大直,15.2,12.6,14.029166666666667
2011-01-26,大直,16.5,14.9,15.525
2011-01-27,大直,17.1,15.3,16.458333333333332
2011-01-28,大直,17.1,13.8,15.775
2011-01-29,大直,13.4,10.7,11.741666666666665
2011-01-30,大直,11.8,10.2,10.995833333333332
2011-01-31,大直,12.2,9.6,10.979166666666664
2011-02-01,大直,18.4,12.3,15.4375
2011-02-02,大直,15.2,13.9,14.616666666666667
2011-02-03,大直,20.3,15.2,17.504166666666666
2011-02-04,大直,20.1,15.2,17.254166666666666
2011-02-05,大直,19.7,13.4,16.795833333333334
2011-02-06,大直,23.8,13.0,17.991666666666667
2011-02-07,大直,24.2,17.1,20.366666666666667
2011-02-08,大直,23.4,16.0,19.58333333333333
2011-02-09,大直,22.1,15.7,18.291666666666668
2011-02-10,大直,19.4,16.9,17.6125
2011-02-11,大直,16.8,11.6,13.791666666666664
2011-02-12,大直,13.2,11.4,12.579166666666666
2011-02-13,大直,17.7,12.9,15.075
2011-02-14,大直,13.4,10.1,11.291666666666664
2011-02-15,大直,14.2,10.5,12.25
2011-02-16,大直,20.8,14.4,16.570833333333336
2011-02-17,大直,21.6,14.8,16.825
2011-02-18,大直,16.5,13.9,15.458333333333336
2011-02-19,大直,15.6,14.5,14.945833333333333
2011-02-20,大直,14.8,13.5,14.320833333333333
2011-02-21,大直,15.0,13.9,14.449999999999998
2011-02-22,大直,19.8,13.3,16.570833333333336
2011-02-23,大直,20.3,16.4,18.591666666666672
2011-02-24,大直,19.6,17.3,18.39583333333333
2011-02-25,大直,21.2,17.9,19.220833333333328
2011-02-26,大直,26.1,17.7,21.70833333333333
2011-02-27,大直,26.4,16.7,21.57083333333333
2011-02-28,大直,25.3,15.9,19.033333333333328
2011-03-01,大直,19.4,14.7,16.77916666666667
2011-03-02,大直,14.3,12.9,13.6625
2011-03-03,大直,15.3,12.1,13.941666666666668
2011-03-04,大直,13.5,11.5,12.670833333333334
2011-03-05,大直,21.4,13.7,16.65416666666667
2011-03-06,大直,20.9,13.8,17.129166666666666
2011-03-07,大直,15.2,11.8,13.158333333333333
2011-03-08,大直,15.1,12.6,14.091666666666667
2011-03-09,大直,20.9,15.2,17.254166666666666
2011-03-10,大直,15.9,14.2,15.004166666666668
2011-03-11,大直,16.3,13.5,14.3375
2011-03-12,大直,16.4,14.0,14.991666666666667
2011-03-13,大直,22.5,14.2,18.804166666666667
2011-03-14,大直,26.8,18.1,21.600000000000005
2011-03-15,大直,18.8,11.9,15.504166666666668
2011-03-16,大直,14.0,11.4,12.9
2011-03-17,大直,17.0,13.2,15.433333333333332
2011-03-18,大直,20.9,16.6,18.716666666666665
2011-03-19,大直,20.9,16.9,19.2375
2011-03-20,大直,29.3,18.5,23.129166666666666
2011-03-21,大直,26.7,17.1,22.52083333333333
2011-03-22,大直,16.2,12.7,14.154166666666667
2011-03-23,大直,14.5,12.5,13.458333333333336
2011-03-24,大直,15.0,12.5,13.841666666666667
2011-03-25,大直,15.9,12.2,13.949999999999998
2011-03-26,大直,13.1,11.6,12.204166666666666
2011-03-27,大直,12.8,11.2,11.9375
2011-03-28,大直,16.7,10.6,14.137499999999998
2011-03-29,大直,21.4,15.2,17.900000000000006
2011-03-30,大直,17.9,15.5,16.420833333333334
2011-03-31,大直,22.2,16.1,19.483333333333334
2011-04-01,大直,25.4,16.4,21.48333333333333
2011-04-02,大直,27.4,18.3,22.78333333333333
2011-04-03,大直,26.0,17.2,20.975
2011-04-04,大直,17.0,14.1,15.041666666666664
2011-04-05,大直,16.0,14.4,15.170833333333334
2011-04-06,大直,23.2,14.1,19.370833333333334
2011-04-07,大直,27.0,17.0,21.0
2011-04-08,大直,25.2,18.2,20.841666666666672
2011-04-09,大直,21.9,18.1,20.63333333333333
2011-04-10,大直,28.3,20.0,22.59583333333333
2011-04-11,大直,23.2,17.4,19.820833333333333
2011-04-12,大直,20.7,17.3,19.15
2011-04-13,大直,25.3,18.8,22.10416666666667
2011-04-14,大直,28.2,20.2,23.28333333333333
2011-04-15,大直,28.6,20.4,24.83478260869565
2011-04-16,大直,27.0,19.5,22.7625
2011-04-17,大直,19.5,17.6,18.516666666666666
2011-04-18,大直,24.2,17.8,20.70833333333333
2011-04-19,大直,21.1,17.6,19.554166666666664
2011-04-20,大直,22.9,16.7,19.970833333333328
2011-04-21,大直,26.5,17.4,22.004166666666666
2011-04-22,大直,25.7,18.9,21.89583333333333
2011-04-23,大直,20.1,17.0,18.545833333333334
2011-04-24,大直,29.2,14.6,21.895238095238096
2011-04-25,大直,27.6,18.2,22.445833333333336
2011-04-26,大直,27.2,20.3,23.87083333333333
2011-04-27,大直,32.9,21.5,26.3625
2011-04-28,大直,25.4,22.0,23.675
2011-04-29,大直,27.5,21.8,24.95833333333333
2011-04-30,大直,28.1,22.5,25.09583333333333
2011-05-01,大直,28.9,23.8,25.53333333333333
2011-05-02,大直,25.9,22.1,23.7
2011-05-03,大直,24.8,19.5,22.445833333333336
2011-05-04,大直,24.3,19.5,21.54583333333333
2011-05-05,大直,24.9,21.0,22.65833333333333
2011-05-06,大直,25.6,21.9,24.054166666666664
2011-05-07,大直,30.6,23.6,26.03333333333333
2011-05-08,大直,32.2,24.5,27.68333333333333
2011-05-09,大直,32.0,24.9,28.454166666666666
2011-05-10,大直,32.9,24.8,28.59166666666667
2011-05-11,大直,33.8,26.1,29.97916666666667
2011-05-12,大直,30.8,22.5,26.93333333333333
2011-05-13,大直,23.6,20.6,22.070833333333336
2011-05-14,大直,21.5,19.7,20.9375
2011-05-15,大直,23.7,21.4,22.40833333333333
2011-05-16,大直,21.8,20.0,21.1375
2011-05-17,大直,23.0,19.4,21.15
2011-05-18,大直,28.4,22.1,25.34583333333333
2011-05-19,大直,29.2,23.3,25.90833333333333
2011-05-20,大直,28.3,22.6,25.641666666666666
2011-05-21,大直,30.4,23.4,26.55
2011-05-22,大直,31.0,24.9,26.954166666666666
2011-05-23,大直,27.5,22.7,25.566666666666666
2011-05-24,大直,23.6,21.1,22.3375
2011-05-25,大直,24.0,21.5,22.83333333333333
2011-05-26,大直,28.5,23.4,25.675
2011-05-27,大直,27.2,22.3,24.6125
2011-05-28,大直,22.9,19.9,21.67083333333333
2011-05-29,大直,25.1,18.0,21.55
2011-05-30,大直,28.0,20.4,24.6125
2011-05-31,大直,31.5,22.1,26.83333333333333
2011-06-01,大直,30.9,24.7,26.8
2011-06-02,大直,27.1,24.1,25.125
2011-06-03,大直,28.2,23.7,25.325
2011-06-04,大直,30.3,24.9,27.504166666666666
2011-06-05,大直,33.6,25.1,29.30833333333333
2011-06-06,大直,34.5,26.1,30.33333333333333
2011-06-07,大直,34.4,27.4,30.875
2011-06-08,大直,34.1,27.8,30.47083333333333
2011-06-09,大直,33.8,26.8,29.27916666666667
2011-06-10,大直,32.4,26.0,28.29166666666667
2011-06-11,大直,31.9,25.7,28.12083333333333
2011-06-12,大直,33.8,26.2,29.3125
2011-06-13,大直,32.8,26.9,29.0
2011-06-14,大直,33.2,26.6,30.087499999999995
2011-06-15,大直,33.2,27.9,30.30833333333333
2011-06-16,大直,33.7,27.6,29.89583333333333
2011-06-17,大直,33.9,27.1,30.02916666666667
2011-06-18,大直,33.8,27.0,29.866666666666664
2011-06-19,大直,33.7,27.1,30.27083333333333
2011-06-20,大直,32.7,27.3,30.316666666666666
2011-06-21,大直,32.1,27.2,29.71666666666667
2011-06-22,大直,34.2,27.0,30.504166666666666
2011-06-23,大直,33.5,27.3,30.79583333333333
2011-06-24,大直,31.6,25.6,28.6
2011-06-25,大直,32.3,24.3,27.47083333333333
2011-06-26,大直,33.4,25.9,28.712499999999995
2011-06-27,大直,32.9,25.9,29.2375
2011-06-28,大直,31.7,24.0,27.35833333333333
2011-06-29,大直,31.5,24.9,26.55
2011-06-30,大直,32.6,24.4,28.5875
2011-07-01,大直,32.1,26.5,29.0125
2011-07-02,大直,32.1,25.9,29.34583333333333
2011-07-03,大直,34.0,27.5,30.30833333333333
2011-07-04,大直,33.4,27.9,30.40416666666667
2011-07-05,大直,34.6,27.8,30.41666666666667
2011-07-06,大直,33.2,27.0,29.820833333333336
2011-07-07,大直,32.8,26.8,29.875
2011-07-08,大直,35.4,27.4,30.820833333333336
2011-07-09,大直,31.8,27.4,29.22083333333333
2011-07-10,大直,31.6,25.1,28.10416666666667
2011-07-11,大直,31.9,26.9,29.54583333333333
2011-07-12,大直,32.4,27.5,29.691666666666666
2011-07-13,大直,31.2,26.2,27.7375
2011-07-14,大直,32.1,24.7,28.60416666666667
